template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
10,Opposition (180°),Aspect Templates,الشمس,القمر,مقابلة,T10_Sun_Moon,Sun مقابلة Moon,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,عطارد,مقابلة,T10_Sun_Mercury,Sun مقابلة Mercury,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,الزهرة,مقابلة,T10_Sun_Venus,Sun مقابلة Venus,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,المريخ,مقابلة,T10_Sun_Mars,Sun مقابلة Mars,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,المشتري,مقابلة,T10_Sun_Jupiter,Sun مقابلة Jupiter,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,زحل,مقابلة,T10_Sun_Saturn,Sun مقابلة Saturn,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,أورانوس,مقابلة,T10_Sun_Uranus,Sun مقابلة Uranus,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,نبتون,مقابلة,T10_Sun_Neptune,Sun مقابلة Neptune,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,بلوتو,مقابلة,T10_Sun_Pluto,Sun مقابلة Pluto,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,كيرون,مقابلة,T10_Sun_Chiron,Sun مقابلة Chiron,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,العقدة الشمالية,مقابلة,T10_Sun_NorthNode,Sun مقابلة North Node,,,,,pending,
10,Opposition (180°),Aspect Templates,الشمس,العقدة الجنوبية,مقابلة,T10_Sun_SouthNode,Sun مقابلة South Node,,,,,pending,
10,Opposition (180°),Aspect Templates,القمر,عطارد,مقابلة,T10_Moon_Mercury,Moon مقابلة Mercury,,,,,pending,
10,Opposition (180°),Aspect Templates,القمر,الزهرة,مقابلة,T10_Moon_Venus,Moon مقابلة Venus,,,,,pending,
10,Opposition (180°),Aspect Templates,القمر,المريخ,مقابلة,T10_Moon_Mars,Moon مقابلة Mars,,,,,pending,
10,Opposition (180°),Aspect Templates,القمر,المشتري,مقابلة,T10_Moon_Jupiter,Moon مقابلة Jupiter,,,,,pending,
10,Opposition (180°),Aspect Templates,القمر,زحل,مقابلة,T10_Moon_Saturn,Moon مقابلة Saturn,,,,,pending,
10,Opposition (180°),Aspect Templates,القمر,أورانوس,مقابلة,T10_Moon_Uranus,Moon مقابلة Uranus,,,,,pending,
10,Opposition (180°),Aspect Templates,القمر,نبتون,مقابلة,T10_Moon_Neptune,Moon مقابلة Neptune,,,,,pending,
10,Opposition (180°),Aspect Templates,القمر,بلوتو,مقابلة,T10_Moon_Pluto,Moon مقابلة Pluto,,,,,pending,
10,Opposition (180°),Aspect Templates,القمر,كيرون,مقابلة,T10_Moon_Chiron,Moon مقابلة Chiron,,,,,pending,
