template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
28,Planetary Return,Predictive,الشمس,,,T28_Return_Sun,Return cycle of Sun,عودة الشمس إلى موضعها الميلادي تحدث مرة كل عام، حول تاريخ الميلاد، وتُعرف في التقليد الفلكي باسم العودة الشمسية. كانت تُستخدم منذ العصر الهلنستي ثم طورها الفلكيون العرب لرسم خريطة سنوية تكشف الموضوعات الكبرى للسنة المقبلة. تُقرأ الزوايا والبيوت الجديدة في خريطة العودة كإطار للحيوية والاتجاه والمسائل المحورية التي ستشغل الإنسان من عيد ميلاد إلى آخر، ويُلاحظ بيت الشمس فيها وكواكب المحاور لاستخلاص توقيع العام. اعتبرها التقاليد الكلاسيكية لحظة تجديد لقوة الحياة وإعادة ضبط للهوية الواعية واختبار للنوايا المعلنة.,على المستوى الأعمق، تمثل العودة الشمسية تنفساً سنوياً للأنا الواعية الحرة. تستعيد النفس في كل عودة طاقتها المركزية وتُسأل من جديد: من تكون هذه السنة، وأي صورة من ذاتك تجلب إلى النور. كل دورة شمسية تختم فصلاً وتفتح آخر في كتاب السيرة، وتمنح فرصة لتصحيح المسار قبل أن يثقل العام بالعادة. الذين يعيشون عودتهم بوعي يلاحظون أن أيام محيط العيد تحمل وضوحاً غير عادي، إذ يضعف الستار بين ما اكتُسب وما لم يُستوعب بعد. هذه ليست لحظة سحرية بل عتبة دقيقة لإعادة توجيه الإرادة.,المهمة هي إعادة تكريس النية الجوهرية للسنة الجديدة بوعي صافٍ. الخطر المتصلب أن تمر العودة كذكرى ميلاد روتينية، فيختزل الإنسان نفسه إلى عاداته القديمة ويرفض السؤال الداخلي. الخطر الوهمي أن يتضخم العام إلى وعد عظيم أو نبوءة، فيصبح كل تفصيل في خريطة العودة قدراً محتوماً. التوازن الحي يتطلب جلسة تأمل قصيرة قرب العيد، يُسمي فيها الإنسان ما يطلق سراحه من العام المنصرم وما يتعهد به للقادم.,Dane Rudhyar — Astrology of Personality; Noel Tyl — Solar Arcs; Robert Hand — Planets in Transit,filled,
28,Planetary Return,Predictive,القمر,,,T28_Return_Moon,Return cycle of Moon,تُكمل القمر دورته حول الأرض كل ٢٧.٣ يوماً تقريباً، فيعود إلى موضعه الميلادي مرة كل شهر. يُعرف هذا في التقليد الفلكي بالعودة القمرية، وتُستخدم لقراءة الطقس الانفعالي للشهر القادم، وحالات النفس اليومية، والإيقاع الداخلي للحياة الخاصة. تركز التقاليد الكلاسيكية على بيت القمر في خريطة العودة وعلى علاقته بالمحاور الأربعة وبكواكب الميلاد، لفهم أين سيرتاح الشعور وأين يجد توتراً خلال الأسابيع الأربعة المقبلة. تُقرأ كذلك أطوار القمر داخل العودة بوصفها إيقاعاً دقيقاً لاتخاذ القرارات الصغيرة.,العودة القمرية إيقاع النفس الحية، تنفسها الشهري الذي يعيد ضبط ذاكرتها العاطفية وحاجاتها الأساسية. ما يحدث في كل عودة هو تجديد لطبقة الحياة في الإنسان، تلك الطبقة التي تحمل المزاج والشوق والانتماء. على المستوى السيري، يصبح للإنسان فرصة شهرية لمراجعة ما يغذيه فعلاً وما يستنزفه، وأي بيت من بيوت العودة يحتل القمر يُلمح إلى الميدان الذي تطلب فيه النفس رعاية إضافية لذلك الشهر. الذين يتتبعون عودات قمرهم على مدار سنة يكتشفون أن لكل شهر لوناً نفسياً خاصاً، وأن إنكار هذا الإيقاع يقود إلى استنزاف هادئ.,المهمة احترام الإيقاع الانفعالي الشهري دون الانجراف معه عمياً. الخطر المتصلب أن يرفض الإنسان أي اعتبار لمزاجه الداخلي ويعامل نفسه كآلة منتظمة، فيتراكم الإجهاد في الجسد. الخطر الوهمي أن يصبح كل تقلب قمري حدثاً كونياً يُبرر التهرب من المسؤولية والتقلب الدائم. التوازن الحي أن يُلاحظ الإنسان عودته الشهرية بهدوء، يخصص لها مساءً للراحة وإعادة الاتصال بالحاجات البسيطة، ثم يعود إلى عمله بأرضية أكثر صلابة.,Demetra George — Mysteries of the Dark Moon; Robert Hand — Planets in Transit,filled,
28,Planetary Return,Predictive,عطارد,,,T28_Return_Mercury,Return cycle of Mercury,يعود عطارد إلى موضعه الميلادي مرة كل سنة تقريباً، أحياناً بتزامن قريب من العودة الشمسية بسبب قربه الدائم منها، وأحياناً مع تأخر أو تقدم بأسابيع بسبب حركاته التراجعية المتكررة. ترتبط هذه العودة في التقليد بتجديد طبقة الفكر والتواصل والتعلم: مشاريع جديدة في الكتابة والدراسة، عقود وأحاديث محورية، انفتاح أو انغلاق في قنوات المعلومات، تغيرات في طريقة التفكير اليومي. تُقرأ كنقطة بدء للمشاريع الذهنية القصيرة المدى وكلحظة لمراجعة العقد القانونية والاتفاقات.,عطارد رسول النفس بين طبقاتها، والوسيط الذي يحمل التجربة من الحس إلى الفهم. عودته تجديد لهذه الوظيفة الوسيطة: كيف يتلقى الإنسان الواقع، وكيف يصوغه في كلمات أو فكر متماسك. على مدار السيرة، يلاحظ المتأمل أن عودات عطارد المتعاقبة تكشف نضوج العقل أو ركوده. النفس تُدعى في كل عودة إلى مراجعة لغتها الداخلية وما تسميه به الأشياء، إذ التسمية فعل خلق صامت يحدد ما سيُرى وما سيغيب. كثيراً ما تتصادف هذه العودة مع لحظة فهم متأخر أو اكتشاف خطأ في الحوار الذاتي.,المهمة تنقية أداة الفكر والكلام. الخطر المتصلب أن ينغلق العقل في صياغات معتادة، فيكرر الإنسان آراءه دون أن يفحصها، ويتعامل مع الكلمات كقوالب جاهزة. الخطر الوهمي أن يتضخم الذكاء فيتحول إلى ثرثرة لا تتوقف، أو إلى تعلم لا ينتهي بلا تطبيق، فيصبح العقل سحابة معلقة بلا أرض. التوازن الحي أن يختار الإنسان قراءة واحدة جادة أو محادثة واحدة عميقة قرب العودة، ويسأل نفسه أي معتقد يحتاج إلى مراجعة هذه السنة.,Robert Hand — Horoscope Symbols; Sue Tompkins — The Contemporary Astrologer's Handbook,filled,
28,Planetary Return,Predictive,الزهرة,,,T28_Return_Venus,Return cycle of Venus,تكمل الزهرة دورتها الظاهرية حول الشمس في نحو سنة، فتعود إلى موضعها الميلادي سنوياً مع تعديلات بسبب حركاتها التراجعية كل ثمانية عشر شهراً تقريباً. تربط التقاليد هذه العودة بتجديد علاقات المودة، بأمور المال والممتلكات، بالذوق الفني، وبجاذبية الإنسان وحضوره الاجتماعي خلال السنة القادمة. تُقرأ كنقطة لإعادة تقييم القيم الشخصية: ما يستحق الاحتفاظ به وما يُترك يرحل، أي علاقة تستحق الاستثمار وأيها استنفدت دورها، وأي ميدان من ميادين الجمال والمتعة يطلب رعاية واعية.,الزهرة في علم الروح حاملة قوة الحب التي تربط النفس بالعالم، والقدرة على أن يُقدّر الإنسان جمال الآخر دون أن يبتلعه. عودتها فرصة لمراجعة هذا الفن الدقيق: هل تحول الحب إلى تملك، هل أصبح التقدير محاكاة لما يقدره الجوار، هل ضاع الذوق الشخصي تحت ضغط الموضة أو الخوف من الوحدة. على المستوى السيري، تكشف العودات المتعاقبة منحنى نضج القلب: من حب ينتظر الإشباع إلى حب يعطي بلا حساب، ثم إلى حب يعرف متى يقول لا. الذين يهملون هذه العودة يجدون قيمهم مستعارة من حولهم بعد سنوات.,المهمة تنقية ما يُحَب وما يُقدَّر. الخطر المتصلب أن تتجمد العلاقات في صور مريحة بلا حياة، وأن يُكتفى بالممتلكات بديلاً عن الاتصال الحقيقي. الخطر الوهمي أن ينجرف الإنسان وراء كل جاذبية جديدة، فيخلط الإعجاب الزائل بالحب العميق، ويستنزف نفسه في علاقات بلا جوهر. التوازن الحي أن يسأل الإنسان قرب عودة زهرته: من في حياتي يستحق وقتي فعلاً، وأي شيء أملكه أصبح يثقلني، وأي ذوق جمالي يخصني وحدي.,"Liz Greene — Relating; Stephen Arroyo — Astrology, Karma & Transformation",filled,
28,Planetary Return,Predictive,المريخ,,,T28_Return_Mars,Return cycle of Mars,يعود المريخ إلى موضعه الميلادي مرة كل سنتين تقريباً، أو أبعد قليلاً حين تتدخل دورات التراجع التي تجعل العودة تتأخر بأشهر إضافية. ترتبط هذه العودة في التقليد الفلكي بدورة الإرادة والفعل والصراع: بداية مشاريع تتطلب شجاعة، مواجهات طال تأجيلها، طاقة جنسية متجددة أو مكبوتة، نشاط بدني مكثف، وحوادث بدنية محتملة حين تُكبت الطاقة طويلاً ثم تنفجر فجأة. تُقرأ كنقطة لإعادة شحن قدرة الفعل، وكلحظة لمراجعة طريقة الإنسان في الدفاع عن حدوده وإطلاق غضبه وتنظيم حماسه نحو هدف يستحق الجهد.,المريخ في الرؤية الروحية ذراع الأنا في العالم، القوة التي تحول النية إلى حركة وتدافع عن حدود الذات. عودته إعادة معايرة لهذه القوة: هل تخدم الأنا الحرة، أم أنها صارت أداة في يد العادة أو الغضب أو الخوف. تكشف العودات المتعاقبة عبر السنوات إن كان الإنسان يتعلم استخدام إرادته بنضج متزايد، أم أنه يكرر نفس الانفجارات والتراجعات. الميدان الذي يقع فيه المريخ في خريطة العودة يشير إلى أين ستُختبر الشجاعة هذه السنتين، وأين يجب أن تُرسم حدود جديدة أو تُهدم حدود زائفة كانت تخنق الحياة.,المهمة استرداد ملكية الإرادة بوعي. الخطر المتصلب أن تتحجر الطاقة في عناد بارد أو في مهام تُؤدى بلا روح، فيصبح الفعل آلياً وتنطفئ الشرارة. الخطر الوهمي أن يتضخم الغضب أو الطموح فيخرج الإنسان عن مساره الحقيقي وراء معارك ليست له. التوازن الحي أن يسأل الإنسان قرب العودة: ما الفعل الواحد الذي أؤجله جبناً، وأي صراع أخوضه بلا داعٍ، وأين تنتظرني حركة شجاعة صغيرة لكنها صادقة.,Liz Greene — The Astrology of Fate; Robert Hand — Planets in Transit,filled,
28,Planetary Return,Predictive,المشتري,,,T28_Return_Jupiter,Return cycle of Jupiter,يعود المشتري إلى موضعه الميلادي كل اثنتي عشرة سنة تقريباً، فترسم هذه العودات إيقاعاً واسعاً يقسم الحياة إلى فصول كبرى حول الأعمار ١٢، ٢٤، ٣٦، ٤٨، ٦٠، ٧٢، ٨٤. تربط التقاليد هذه العودة بتوسع الأفق، بفرص التعليم والسفر والإيمان، بفصل جديد في الفهم الفلسفي للحياة، وبدفع نحو زيادة المسؤولية الاجتماعية أو المهنية. تُقرأ كنقطة منح ومسؤولية في آن واحد، إذ كل ما يفتحه المشتري من أبواب يطلب التزاماً أخلاقياً مرافقاً لاستحقاق الامتياز.,المشتري في عمق التقليد حامل المعنى، القوة التي تُمدد طبقة النفس لتشمل أفقاً أوسع من الأنا الضيقة. كل عودة فصل في رحلة المعنى: ما الذي يؤمن به الإنسان فعلاً، وأي قصة كبرى يضع نفسه داخلها. تختم العودة الأولى الطفولة، والثانية الشباب الباكر، والثالثة لحظة الاستقرار الناضج، والرابعة عتبة الحكمة. أين يقع المشتري في خريطة العودة يكشف الميدان الذي سيتمدد فيه الفهم خلال الاثني عشر عاماً القادمة. الذين يستقبلون هذه العودة بوعي يلاحظون أن الفرص تأتي مغلفة بمسؤولية أخلاقية لا يمكن تجاهلها.,المهمة قبول التوسع كعهد لا كحظ. الخطر المتصلب أن يرفض الإنسان النمو خوفاً من المسؤولية المرافقة، فيتجمد في معتقدات ضيقة ويغلق أبواب الفرص. الخطر الوهمي أن يتضخم الأمل إلى وعد كاذب بكل شيء دفعة واحدة، فيبدد طاقته في مشاريع بلا جذور ويعد بأكثر مما يستطيع. التوازن الحي أن يختار الإنسان توسعاً واحداً جاداً للاثني عشر عاماً القادمة، بحقل دراسة أو علاقة أو سفر أو خدمة، ويتعهد به بصبر.,"Howard Sasportas — The Gods of Change; Stephen Arroyo — Astrology, Karma & Transformation",filled,
28,Planetary Return,Predictive,زحل,,,T28_Return_Saturn,Return cycle of Saturn,يعود زحل إلى موضعه الميلادي كل ٢٩.٥ سنة تقريباً، فتقع العودة الأولى حول التاسعة والعشرين، والثانية حول الثامنة والخمسين، والثالثة قرب السابعة والثمانين بحسب طول العمر. اعتبرتها التقاليد الكلاسيكية أكبر عتبات السيرة الذاتية، ترتبط بالنضج، بتحمل المسؤولية، باختبار البنى التي بُنيت في الفصل السابق، وبفقدان ما لا أساس له من علاقات أو وظائف أو معتقدات. ميدان زحل في خريطة العودة يكشف أين سيُطلب الجدّ بصورة محددة في العقد القادم.,زحل في علم الروح حارس عتبة الأنا الواعية الحرة، القوة التي تجبر الإنسان على لقاء حدوده الأرضية لكي تنضج الإرادة. كل عودة من عوداته تختم فصلاً وتسأل: ماذا بنيت بحق، وماذا كان مجرد وهم سيتساقط. الأولى تنقل الإنسان من شباب يستعير بنيته من العائلة والمجتمع إلى رجولة أو أنوثة تختار بنيتها بنفسها. الثانية تختم منتصف العمر وتسأل عن الإرث. الثالثة تُهيئ الروح للرحيل. الذين يهربون من هذه العتبات يجدون أنفسهم يعيشون حياة ليست لهم، يحملون أقنعة استعاروها ولا تخصهم.,المهمة قبول الحدّ كهدية لا كعقوبة. الخطر المتصلب أن يتحول زحل إلى جدار بارد من الواجب الميت، فيعيش الإنسان حياة شكلية بلا حرارة، يُرضي توقعات لم يخترها. الخطر الوهمي أن يهرب من المسؤولية تحت غطاء الحرية أو الروحانية، فيؤجل الالتزام ويظل في طفولة ممتدة. التوازن الحي أن يجلس الإنسان قرب العودة ويسأل: أي بنية في حياتي أقامها خوفي لا اختياري، وأي التزام أتهرب منه يخصني فعلاً، وما الذي يستحق الجدّ في العقد القادم.,Liz Greene — Saturn: A New Look at an Old Devil; Steven Forrest — The Book of Saturn; Erin Sullivan — Saturn in Transit,filled,
28,Planetary Return,Predictive,أورانوس,,,T28_Return_Uranus,Return cycle of Uranus,يكمل أورانوس دورته في نحو ٨٤ سنة، فتقع عودته الميلادية قرب نهاية العمر الطبيعي، وتُعتبر عتبة الحكمة الكبرى التي لا يبلغها إلا الذين أُعطوا طول العمر. منتصف هذه الدورة، أي معاكسة أورانوس حول الأربعين، أهم سريرياً وتُعالج في قالب منفصل. تُقرأ العودة الكاملة كلحظة إفراج عن كل ما لم يكن ضرورياً، وكشف للجوهر الفردي الذي حمله الإنسان منذ ولادته، وتلاحظ التقاليد الفلكية فيها انفتاحاً غريباً يشبه شباباً ثانياً مفاجئاً عند أصحاب الإرادة الحرة.,أورانوس في عمق التقليد حامل صاعقة الفردية، القوة التي تحرر الأنا من اندماجها مع الجماعة والعائلة والعصر. عودته الكاملة لحظة نادرة لا يبلغها كثيرون، تختم تجربة بأكملها وتفتح، إن جاءت، عتبة الحكمة الحرة التي لم تعد تخاف من رأي أحد. كل ما زُرع في الشباب من اعتراض وتفرد ودفع نحو الجديد يحصد ثماره أو يكشف فراغه. على مدار السيرة كاملة، يتحول الإنسان من ثائر شاب يطلب الحرية لذاته، إلى من يحمل الحرية كمسؤولية تجاه الجماعة. هذه عودة الحرية الناضجة، حين تصبح الفردية خدمة لا تمرداً.,المهمة احتضان التفرد كأمانة. الخطر المتصلب أن تتجمد الحرية في عناد عجوز يرفض كل جديد، فيتحول الفرد الفريد إلى حافظ تقاليد قاسٍ. الخطر الوهمي أن يظل الإنسان في تمرد طفولي حتى نهاية العمر، يكسر كل بنية ولا يبني شيئاً يدوم. التوازن الحي أن يسأل الإنسان قرب العودة: ما الذي أصبحت أعرفه عن نفسي لا يعرفه أحد سواي، وكيف أمرّر هذه الحكمة دون أن أفرضها، وأي حرية اكتسبتها بحق صارت قادرة على خدمة من بعدي.,Liz Greene — The Astrological Neptune and the Quest for Redemption; Howard Sasportas — The Gods of Change,filled,
28,Planetary Return,Predictive,نبتون,,,T28_Return_Neptune,Return cycle of Neptune,يحتاج نبتون نحو ١٦٥ سنة لإكمال دورته، ولذلك لا يبلغ أحد عودته الميلادية في حياة واحدة. تكتسب هذه الإشارة قيمة رمزية وجيلية أكثر من كونها حدثاً شخصياً، وتُقرأ في التقليد الفلكي الحديث من خلال زواياه الكبرى مع نفسه: التربيع المهم حول الأربعين إلى الثانية والأربعين، والمعاكسة الأكبر حول الثلاثة والثمانين. تشير هذه المراحل إلى عتبات تحلل اليقين القديم وانفتاح الحس على ما هو أبعد من الحواس، وتجلب أحياناً تجارب صوفية أو لحظات فقدان للأطر القديمة.,نبتون في علم الروح حاملاً قوة الذوبان، تلك التي تُلين حدود الأنا لتسمح بدخول التيار الأوسع للحياة. لأن دورته أطول من العمر، فإنه يعمل بوصفه إيقاعاً جيلياً يشكل كيف يحلم جيل بأكمله، وما الأوهام التي يسقط فيها، وأي اشتياق روحي يحمله. على المستوى الشخصي، تُختبر مراحله الكبرى بوصفها لحظات يضعف فيها الستار بين الأنا والعالم الواسع: مرض، عشق، صلاة، فقدان، أو لقاء غير عادي يكسر الإطار. الذين يستقبلون هذه الإشارات بوعي يتعلمون التمييز بين الذوبان المُحرر والذوبان المُهلك.,المهمة تعلّم الذوبان دون فقدان المركز. الخطر المتصلب أن يُغلق الإنسان نفسه أمام أي بعد لا تثبته الحواس، فيعيش حياة جافة بلا اشتياق ولا خيال. الخطر الوهمي أن ينجرف الإنسان في الضباب، يخلط الحلم بالواقع، ويهرب من المسؤولية في إدمان أو روحانية كاذبة أو علاقة تذيب هويته. التوازن الحي أن يُخصص الإنسان وقتاً منتظماً للصلاة أو التأمل أو الفن، فيمنح للذوبان قناة شريفة، ثم يعود إلى الواقع بأرضية واضحة وحسّ أقوى بما يستحق الخدمة.,Liz Greene — The Astrological Neptune and the Quest for Redemption; Richard Tarnas — Cosmos and Psyche,filled,
28,Planetary Return,Predictive,بلوتو,,,T28_Return_Pluto,Return cycle of Pluto,تبلغ دورة بلوتو نحو ٢٤٨ سنة، فلا يبلغ أحد عودته الميلادية بحال. تُقرأ إشاراته الكبرى من خلال زواياه مع نفسه: التربيع الذي يقع بين منتصف الثلاثينات ومنتصف الأربعينات بحسب الجيل، والمعاكسة التي لا يبلغها العمر العادي. هذه العتبات لحظات تحوّل عميقة لا رجعة فيها، تتعلق بالقوة والموت والإفراج عن كل ما لم يعد قابلاً للحياة في النفس.,بلوتو في الرؤية الروحية حامل قوة التحلل التطهيري، تلك التي تُجبر النفس على إسقاط ما تماهت معه طويلاً لكي تولد طبقة أعمق منها. لأن دورته الكاملة خارج العمر، فإنه يعمل كقدر جيلي يحفر تحت سطح الحياة الفردية. مراحله الكبرى تأتي كأزمات تجبر الإنسان على لقاء ظله، على مواجهة ما أنكره عن نفسه أو عن تاريخه. الميدان الذي يقع فيه بلوتو في الخريطة يكشف أين سيُطلب موت رمزي أكثر من مرة في الحياة، حتى تتحرر القوة الحقيقية المختبئة هناك. الذين يقاومون يجدون أنفسهم في انفجار، والذين يستسلمون بوعي يكتسبون عمقاً نادراً.,المهمة قبول التحول كقانون للحياة. الخطر المتصلب أن يتمسك الإنسان بهوية ميتة أو علاقة منتهية أو قوة مزيفة، فيتراكم الضغط حتى ينفجر. الخطر الوهمي أن يهوى الإنسان بالأزمة لذاتها، ويصبح إدمانه للانفجار والدراما طريقة لتجنب البناء الصبور. التوازن الحي أن يلاحظ الإنسان قرب كل إشارة بلوتونية كبرى ما الذي ينتهي بصدق في حياته، أي قوة كانت مستعارة وأي قوة تخصه فعلاً، ويسمح للموت الرمزي بأن يحدث دون أن يدمر ما لا يحتاج إلى تدمير.,Steven Forrest — The Book of Pluto; Jeff Green — Pluto: The Evolutionary Journey of the Soul,filled,
