template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
28,Planetary Return,Predictive,الشمس,,,T28_Return_Sun,Return cycle of Sun,,,,,built,
28,Planetary Return,Predictive,القمر,,,T28_Return_Moon,Return cycle of Moon,,,,,built,
28,Planetary Return,Predictive,عطارد,,,T28_Return_Mercury,Return cycle of Mercury,,,,,pending,
28,Planetary Return,Predictive,الزهرة,,,T28_Return_Venus,Return cycle of Venus,,,,,pending,
28,Planetary Return,Predictive,المريخ,,,T28_Return_Mars,Return cycle of Mars,,,,,pending,
28,Planetary Return,Predictive,المشتري,,,T28_Return_Jupiter,Return cycle of Jupiter,,,,,built,
28,Planetary Return,Predictive,زحل,,,T28_Return_Saturn,Return cycle of Saturn,,,,,built,
28,Planetary Return,Predictive,أورانوس,,,T28_Return_Uranus,Return cycle of Uranus,,,,,pending,
28,Planetary Return,Predictive,نبتون,,,T28_Return_Neptune,Return cycle of Neptune,,,,,pending,
28,Planetary Return,Predictive,بلوتو,,,T28_Return_Pluto,Return cycle of Pluto,,,,,pending,
28,Planetary Return,Predictive,كيرون,,,T28_Return_Chiron,Return cycle of Chiron,,,,,pending,
28,Planetary Return,Predictive,العقدة الشمالية,,,T28_Return_NorthNode,Return cycle of North Node,,,,,pending,
28,Planetary Return,Predictive,العقدة الجنوبية,,,T28_Return_SouthNode,Return cycle of South Node,,,,,pending,
29,Saturn Return,Predictive,زحل,,,T29_SaturnReturn,Ages ~29 / ~58 / ~87 — biographical thresholds,,,,,pending,
30,Jupiter Return,Predictive,المشتري,,,T30_JupiterReturn,Every ~12 years — expansion cycle,,,,,pending,
31,Solar Return,Predictive,الشمس,,,T31_SolarReturn,Annual return — year's soul-theme,,,,,pending,
32,Lunar Return,Predictive,القمر,,,T32_LunarReturn,Monthly return — monthly soul-weather,,,,,pending,
33,Nodal Return,Predictive,العقدة الشمالية,,,T33_NodalReturn,Every ~18.6 years — karmic reset,,,,,pending,
34,Chiron Return,Predictive,كيرون,,,T34_ChironReturn,Age ~50-51 — the healing crisis,,,,,pending,
35,Uranus Opposition,Predictive,أورانوس,,,T35_UranusOpp,Age ~40-42 — mid-life revelation,,,,,pending,
