template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
9,Conjunction (0°),Aspect Templates,الشمس,القمر,اقتران,T09_Sun_Moon,Sun اقتران Moon,اقتران الشمس مع القمر يصهر جوهر الهوية وإرادة الأنا المركزية مع الحياة الشعورية والذاكرة العاطفية والحاجة إلى الانتماء في نبضة واحدة. حيث تتحرك إحدى القوتين تتحرك الأخرى، فيصبح المبدآن وجهين لفعل واحد. يقرأ التقليد هذا التركيب باعتباره كثافةً في المجال الذي يقع فيه، إذ تعمل كل قوة من خلال الأخرى. يميل الشخص إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بلغة الحياة الشعورية والذاكرة العاطفية والحاجة إلى الانتماء، وقد يصعب عليه التمييز بين الطاقتين.,على المستوى التطوري، يشير الاقتران إلى أن النفس جاءت إلى هذه الحياة وقوّتا الشمس وMoon مدمجتان في حزمة واحدة. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم مع السجل العاطفي الذي تحمله النفس من حيوات سابقة وعادات الأمان القديمة، وتطلب الكرما أن يُتقن استعمال إحداهما حين تُتقن الأخرى. غالباً يحمل صاحب التركيب ذاكرة قديمة استُعملت فيها القوتان منفصلتين أو في خلاف، فجاءت اللحظة لدمجهما في فعل أخلاقي واحد. يصبح المجال الذي يقع فيه الاقتران ساحة العمل المركزية، حيث تتركز أكبر طاقة وأكبر اختبار. التقدم لا يأتي من تفضيل قوة على أخرى، بل من السماح لكل منهما بأن تكشف الأخرى وتربّيها.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والحياة الشعورية والذاكرة العاطفية والحاجة إلى الانتماء في يد واحدة دون أن يسحق أحدهما الآخر. الخطر المتصلب يظهر حين يجمد التركيب في عادة مغلقة، فيصير التحجر في صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب متشابكاً مع التشبث بأنماط شعورية موروثة لا تخدم الحاضر، ويفقد المرء قدرة التمييز. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الاقتران فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي مغذّى بـ الانجراف في موجات عاطفية بلا مرساة واعية، ويُخطئ شدة الاندماج بدليل صحته. التوازن الحي يطلب وعياً يقظاً يفصل القوتين لحظةً ليعيد دمجهما بحرية، فيحركهما المرء بقصد لا بانجراف.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
9,Conjunction (0°),Aspect Templates,الشمس,عطارد,اقتران,T09_Sun_Mercury,Sun اقتران Mercury,اقتران الشمس مع عطارد يصهر جوهر الهوية وإرادة الأنا المركزية مع العقل اليقظ، الكلمة، الربط بين المعاني في نبضة واحدة. حيث تتحرك إحدى القوتين تتحرك الأخرى، فيصبح المبدآن وجهين لفعل واحد. يقرأ التقليد هذا التركيب باعتباره كثافةً في المجال الذي يقع فيه، إذ تعمل كل قوة من خلال الأخرى. يميل الشخص إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بلغة العقل اليقظ، الكلمة، الربط بين المعاني، وقد يصعب عليه التمييز بين الطاقتين.,على المستوى التطوري، يشير الاقتران إلى أن النفس جاءت إلى هذه الحياة وقوّتا الشمس وMercury مدمجتان في حزمة واحدة. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم مع الوظيفة الرسولية للذهن التي تنقل ما تدركه الروح إلى لغة قابلة للتداول، وتطلب الكرما أن يُتقن استعمال إحداهما حين تُتقن الأخرى. غالباً يحمل صاحب التركيب ذاكرة قديمة استُعملت فيها القوتان منفصلتين أو في خلاف، فجاءت اللحظة لدمجهما في فعل أخلاقي واحد. يصبح المجال الذي يقع فيه الاقتران ساحة العمل المركزية، حيث تتركز أكبر طاقة وأكبر اختبار. التقدم لا يأتي من تفضيل قوة على أخرى، بل من السماح لكل منهما بأن تكشف الأخرى وتربّيها.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والعقل اليقظ، الكلمة، الربط بين المعاني في يد واحدة دون أن يسحق أحدهما الآخر. الخطر المتصلب يظهر حين يجمد التركيب في عادة مغلقة، فيصير التحجر في صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب متشابكاً مع جمود الفكر في صيغ منطقية باردة منقطعة عن الحياة، ويفقد المرء قدرة التمييز. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الاقتران فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي مغذّى بـ تشتت ذهني يقفز بين الأفكار دون استقرار، ويُخطئ شدة الاندماج بدليل صحته. التوازن الحي يطلب وعياً يقظاً يفصل القوتين لحظةً ليعيد دمجهما بحرية، فيحركهما المرء بقصد لا بانجراف.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
9,Conjunction (0°),Aspect Templates,الشمس,الزهرة,اقتران,T09_Sun_Venus,Sun اقتران Venus,اقتران الشمس مع الزهرة يصهر جوهر الهوية وإرادة الأنا المركزية مع الحب، الجمال، قيمة الأشياء، الانجذاب في نبضة واحدة. حيث تتحرك إحدى القوتين تتحرك الأخرى، فيصبح المبدآن وجهين لفعل واحد. يقرأ التقليد هذا التركيب باعتباره كثافةً في المجال الذي يقع فيه، إذ تعمل كل قوة من خلال الأخرى. يميل الشخص إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بلغة الحب، الجمال، قيمة الأشياء، الانجذاب، وقد يصعب عليه التمييز بين الطاقتين.,على المستوى التطوري، يشير الاقتران إلى أن النفس جاءت إلى هذه الحياة وقوّتا الشمس وVenus مدمجتان في حزمة واحدة. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم مع القدرة على بناء الصلة الحية بين الكائن وما يحبه ويقدّره، وتطلب الكرما أن يُتقن استعمال إحداهما حين تُتقن الأخرى. غالباً يحمل صاحب التركيب ذاكرة قديمة استُعملت فيها القوتان منفصلتين أو في خلاف، فجاءت اللحظة لدمجهما في فعل أخلاقي واحد. يصبح المجال الذي يقع فيه الاقتران ساحة العمل المركزية، حيث تتركز أكبر طاقة وأكبر اختبار. التقدم لا يأتي من تفضيل قوة على أخرى، بل من السماح لكل منهما بأن تكشف الأخرى وتربّيها.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والحب، الجمال، قيمة الأشياء، الانجذاب في يد واحدة دون أن يسحق أحدهما الآخر. الخطر المتصلب يظهر حين يجمد التركيب في عادة مغلقة، فيصير التحجر في صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب متشابكاً مع تجميد القيم في صورة جمالية أو علاقاتية مغلقة، ويفقد المرء قدرة التمييز. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الاقتران فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي مغذّى بـ الذوبان في الجاذبية حتى فقدان الذات في الآخر، ويُخطئ شدة الاندماج بدليل صحته. التوازن الحي يطلب وعياً يقظاً يفصل القوتين لحظةً ليعيد دمجهما بحرية، فيحركهما المرء بقصد لا بانجراف.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
9,Conjunction (0°),Aspect Templates,الشمس,المريخ,اقتران,T09_Sun_Mars,Sun اقتران Mars,اقتران الشمس مع المريخ يصهر جوهر الهوية وإرادة الأنا المركزية مع الإرادة الفاعلة، الرغبة، الشجاعة، فعل القرار في نبضة واحدة. حيث تتحرك إحدى القوتين تتحرك الأخرى، فيصبح المبدآن وجهين لفعل واحد. يقرأ التقليد هذا التركيب باعتباره كثافةً في المجال الذي يقع فيه، إذ تعمل كل قوة من خلال الأخرى. يميل الشخص إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بلغة الإرادة الفاعلة، الرغبة، الشجاعة، فعل القرار، وقد يصعب عليه التمييز بين الطاقتين.,على المستوى التطوري، يشير الاقتران إلى أن النفس جاءت إلى هذه الحياة وقوّتا الشمس وMars مدمجتان في حزمة واحدة. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم مع القوة التي تحول النية إلى حركة ملموسة في العالم المادي، وتطلب الكرما أن يُتقن استعمال إحداهما حين تُتقن الأخرى. غالباً يحمل صاحب التركيب ذاكرة قديمة استُعملت فيها القوتان منفصلتين أو في خلاف، فجاءت اللحظة لدمجهما في فعل أخلاقي واحد. يصبح المجال الذي يقع فيه الاقتران ساحة العمل المركزية، حيث تتركز أكبر طاقة وأكبر اختبار. التقدم لا يأتي من تفضيل قوة على أخرى، بل من السماح لكل منهما بأن تكشف الأخرى وتربّيها.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والإرادة الفاعلة، الرغبة، الشجاعة، فعل القرار في يد واحدة دون أن يسحق أحدهما الآخر. الخطر المتصلب يظهر حين يجمد التركيب في عادة مغلقة، فيصير التحجر في صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب متشابكاً مع عدوانية متيبسة أو كبت يحوّل الإرادة إلى مرض داخلي، ويفقد المرء قدرة التمييز. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الاقتران فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي مغذّى بـ اندفاع بلا تمييز يحرق ما حوله، ويُخطئ شدة الاندماج بدليل صحته. التوازن الحي يطلب وعياً يقظاً يفصل القوتين لحظةً ليعيد دمجهما بحرية، فيحركهما المرء بقصد لا بانجراف.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
9,Conjunction (0°),Aspect Templates,الشمس,المشتري,اقتران,T09_Sun_Jupiter,Sun اقتران Jupiter,اقتران الشمس مع المشتري يصهر جوهر الهوية وإرادة الأنا المركزية مع التوسع، المعنى، الإيمان، البحث الفلسفي في نبضة واحدة. حيث تتحرك إحدى القوتين تتحرك الأخرى، فيصبح المبدآن وجهين لفعل واحد. يقرأ التقليد هذا التركيب باعتباره كثافةً في المجال الذي يقع فيه، إذ تعمل كل قوة من خلال الأخرى. يميل الشخص إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بلغة التوسع، المعنى، الإيمان، البحث الفلسفي، وقد يصعب عليه التمييز بين الطاقتين.,على المستوى التطوري، يشير الاقتران إلى أن النفس جاءت إلى هذه الحياة وقوّتا الشمس وJupiter مدمجتان في حزمة واحدة. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم مع الانفتاح الذي يربط الفرد بنظام أكبر من الكون والمعنى، وتطلب الكرما أن يُتقن استعمال إحداهما حين تُتقن الأخرى. غالباً يحمل صاحب التركيب ذاكرة قديمة استُعملت فيها القوتان منفصلتين أو في خلاف، فجاءت اللحظة لدمجهما في فعل أخلاقي واحد. يصبح المجال الذي يقع فيه الاقتران ساحة العمل المركزية، حيث تتركز أكبر طاقة وأكبر اختبار. التقدم لا يأتي من تفضيل قوة على أخرى، بل من السماح لكل منهما بأن تكشف الأخرى وتربّيها.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والتوسع، المعنى، الإيمان، البحث الفلسفي في يد واحدة دون أن يسحق أحدهما الآخر. الخطر المتصلب يظهر حين يجمد التركيب في عادة مغلقة، فيصير التحجر في صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب متشابكاً مع عقيدة جامدة تختزل المعنى في صيغة واحدة، ويفقد المرء قدرة التمييز. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الاقتران فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي مغذّى بـ تفاؤل وهمي وتضخم يفقد التماس مع الواقع، ويُخطئ شدة الاندماج بدليل صحته. التوازن الحي يطلب وعياً يقظاً يفصل القوتين لحظةً ليعيد دمجهما بحرية، فيحركهما المرء بقصد لا بانجراف.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
9,Conjunction (0°),Aspect Templates,الشمس,زحل,اقتران,T09_Sun_Saturn,Sun اقتران Saturn,اقتران الشمس مع زحل يصهر جوهر الهوية وإرادة الأنا المركزية مع البنية، الحد، الزمن، المسؤولية، الانضباط في نبضة واحدة. حيث تتحرك إحدى القوتين تتحرك الأخرى، فيصبح المبدآن وجهين لفعل واحد. يقرأ التقليد هذا التركيب باعتباره كثافةً في المجال الذي يقع فيه، إذ تعمل كل قوة من خلال الأخرى. يميل الشخص إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بلغة البنية، الحد، الزمن، المسؤولية، الانضباط، وقد يصعب عليه التمييز بين الطاقتين.,على المستوى التطوري، يشير الاقتران إلى أن النفس جاءت إلى هذه الحياة وقوّتا الشمس وSaturn مدمجتان في حزمة واحدة. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم مع حارس العتبة الذي يفرض على النفس أن تتجسد في إطار وتلتزم بثمن التجسد، وتطلب الكرما أن يُتقن استعمال إحداهما حين تُتقن الأخرى. غالباً يحمل صاحب التركيب ذاكرة قديمة استُعملت فيها القوتان منفصلتين أو في خلاف، فجاءت اللحظة لدمجهما في فعل أخلاقي واحد. يصبح المجال الذي يقع فيه الاقتران ساحة العمل المركزية، حيث تتركز أكبر طاقة وأكبر اختبار. التقدم لا يأتي من تفضيل قوة على أخرى، بل من السماح لكل منهما بأن تكشف الأخرى وتربّيها.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والبنية، الحد، الزمن، المسؤولية، الانضباط في يد واحدة دون أن يسحق أحدهما الآخر. الخطر المتصلب يظهر حين يجمد التركيب في عادة مغلقة، فيصير التحجر في صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب متشابكاً مع انكماش خوفي وقمع يقطع الحيوية باسم الواجب، ويفقد المرء قدرة التمييز. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الاقتران فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي مغذّى بـ ادعاء سلطة وحكمة قبل أوانهما، ويُخطئ شدة الاندماج بدليل صحته. التوازن الحي يطلب وعياً يقظاً يفصل القوتين لحظةً ليعيد دمجهما بحرية، فيحركهما المرء بقصد لا بانجراف.,Greene — Saturn: A New Look at an Old Devil; Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
9,Conjunction (0°),Aspect Templates,الشمس,أورانوس,اقتران,T09_Sun_Uranus,Sun اقتران Uranus,اقتران الشمس مع أورانوس يصهر جوهر الهوية وإرادة الأنا المركزية مع الكسر، الومضة، الحرية، الأصالة الفردية في نبضة واحدة. حيث تتحرك إحدى القوتين تتحرك الأخرى، فيصبح المبدآن وجهين لفعل واحد. يقرأ التقليد هذا التركيب باعتباره كثافةً في المجال الذي يقع فيه، إذ تعمل كل قوة من خلال الأخرى. يميل الشخص إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بلغة الكسر، الومضة، الحرية، الأصالة الفردية، وقد يصعب عليه التمييز بين الطاقتين.,على المستوى التطوري، يشير الاقتران إلى أن النفس جاءت إلى هذه الحياة وقوّتا الشمس وUranus مدمجتان في حزمة واحدة. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم مع القوة التي توقظ الفرد من تواطؤ الجماعة وتطالبه بصوته الحر، وتطلب الكرما أن يُتقن استعمال إحداهما حين تُتقن الأخرى. غالباً يحمل صاحب التركيب ذاكرة قديمة استُعملت فيها القوتان منفصلتين أو في خلاف، فجاءت اللحظة لدمجهما في فعل أخلاقي واحد. يصبح المجال الذي يقع فيه الاقتران ساحة العمل المركزية، حيث تتركز أكبر طاقة وأكبر اختبار. التقدم لا يأتي من تفضيل قوة على أخرى، بل من السماح لكل منهما بأن تكشف الأخرى وتربّيها.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والكسر، الومضة، الحرية، الأصالة الفردية في يد واحدة دون أن يسحق أحدهما الآخر. الخطر المتصلب يظهر حين يجمد التركيب في عادة مغلقة، فيصير التحجر في صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب متشابكاً مع تمرد قسري آلي يكسر فقط من أجل الكسر، ويفقد المرء قدرة التمييز. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الاقتران فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي مغذّى بـ انفصال فوقي يعتقد نفسه فوق كل قانون، ويُخطئ شدة الاندماج بدليل صحته. التوازن الحي يطلب وعياً يقظاً يفصل القوتين لحظةً ليعيد دمجهما بحرية، فيحركهما المرء بقصد لا بانجراف.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
9,Conjunction (0°),Aspect Templates,الشمس,نبتون,اقتران,T09_Sun_Neptune,Sun اقتران Neptune,اقتران الشمس مع نبتون يصهر جوهر الهوية وإرادة الأنا المركزية مع الإذابة، الحلم، الشفافية، الاتصال بما هو وراء الحدود في نبضة واحدة. حيث تتحرك إحدى القوتين تتحرك الأخرى، فيصبح المبدآن وجهين لفعل واحد. يقرأ التقليد هذا التركيب باعتباره كثافةً في المجال الذي يقع فيه، إذ تعمل كل قوة من خلال الأخرى. يميل الشخص إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بلغة الإذابة، الحلم، الشفافية، الاتصال بما هو وراء الحدود، وقد يصعب عليه التمييز بين الطاقتين.,على المستوى التطوري، يشير الاقتران إلى أن النفس جاءت إلى هذه الحياة وقوّتا الشمس وNeptune مدمجتان في حزمة واحدة. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم مع الانحلال الذي يهيّئ النفس للاتصال بطبقات الروح خارج صورتها المنفصلة، وتطلب الكرما أن يُتقن استعمال إحداهما حين تُتقن الأخرى. غالباً يحمل صاحب التركيب ذاكرة قديمة استُعملت فيها القوتان منفصلتين أو في خلاف، فجاءت اللحظة لدمجهما في فعل أخلاقي واحد. يصبح المجال الذي يقع فيه الاقتران ساحة العمل المركزية، حيث تتركز أكبر طاقة وأكبر اختبار. التقدم لا يأتي من تفضيل قوة على أخرى، بل من السماح لكل منهما بأن تكشف الأخرى وتربّيها.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والإذابة، الحلم، الشفافية، الاتصال بما هو وراء الحدود في يد واحدة دون أن يسحق أحدهما الآخر. الخطر المتصلب يظهر حين يجمد التركيب في عادة مغلقة، فيصير التحجر في صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب متشابكاً مع هروب وضباب وفقدان للحدود يمحو الذات، ويفقد المرء قدرة التمييز. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الاقتران فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي مغذّى بـ ادعاء روحاني وتماهٍ مع المنقذ الكوني، ويُخطئ شدة الاندماج بدليل صحته. التوازن الحي يطلب وعياً يقظاً يفصل القوتين لحظةً ليعيد دمجهما بحرية، فيحركهما المرء بقصد لا بانجراف.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
9,Conjunction (0°),Aspect Templates,الشمس,بلوتو,اقتران,T09_Sun_Pluto,Sun اقتران Pluto,اقتران الشمس مع بلوتو يصهر جوهر الهوية وإرادة الأنا المركزية مع الموت والولادة، السلطة العميقة، التحول الجذري في نبضة واحدة. حيث تتحرك إحدى القوتين تتحرك الأخرى، فيصبح المبدآن وجهين لفعل واحد. يقرأ التقليد هذا التركيب باعتباره كثافةً في المجال الذي يقع فيه، إذ تعمل كل قوة من خلال الأخرى. يميل الشخص إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بلغة الموت والولادة، السلطة العميقة، التحول الجذري، وقد يصعب عليه التمييز بين الطاقتين.,على المستوى التطوري، يشير الاقتران إلى أن النفس جاءت إلى هذه الحياة وقوّتا الشمس وPluto مدمجتان في حزمة واحدة. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم مع القوة التي تهدم الصور البالية في النفس لتسمح بميلاد طبقة جديدة من الكائن، وتطلب الكرما أن يُتقن استعمال إحداهما حين تُتقن الأخرى. غالباً يحمل صاحب التركيب ذاكرة قديمة استُعملت فيها القوتان منفصلتين أو في خلاف، فجاءت اللحظة لدمجهما في فعل أخلاقي واحد. يصبح المجال الذي يقع فيه الاقتران ساحة العمل المركزية، حيث تتركز أكبر طاقة وأكبر اختبار. التقدم لا يأتي من تفضيل قوة على أخرى، بل من السماح لكل منهما بأن تكشف الأخرى وتربّيها.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والموت والولادة، السلطة العميقة، التحول الجذري في يد واحدة دون أن يسحق أحدهما الآخر. الخطر المتصلب يظهر حين يجمد التركيب في عادة مغلقة، فيصير التحجر في صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب متشابكاً مع هوس بالسيطرة وتشبث بالقديم خوفاً من الفناء، ويفقد المرء قدرة التمييز. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الاقتران فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي مغذّى بـ إغراق في الظلال والهاوية بوصفهما هوية، ويُخطئ شدة الاندماج بدليل صحته. التوازن الحي يطلب وعياً يقظاً يفصل القوتين لحظةً ليعيد دمجهما بحرية، فيحركهما المرء بقصد لا بانجراف.,"Arroyo — Astrology, Karma & Transformation; Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis",filled,
9,Conjunction (0°),Aspect Templates,الشمس,كيرون,اقتران,T09_Sun_Chiron,Sun اقتران Chiron,اقتران الشمس مع كيرون يصهر جوهر الهوية وإرادة الأنا المركزية مع الجرح الذي لا يندمل ومنه يفيض الشفاء للآخر في نبضة واحدة. حيث تتحرك إحدى القوتين تتحرك الأخرى، فيصبح المبدآن وجهين لفعل واحد. يقرأ التقليد هذا التركيب باعتباره كثافةً في المجال الذي يقع فيه، إذ تعمل كل قوة من خلال الأخرى. يميل الشخص إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بلغة الجرح الذي لا يندمل ومنه يفيض الشفاء للآخر، وقد يصعب عليه التمييز بين الطاقتين.,على المستوى التطوري، يشير الاقتران إلى أن النفس جاءت إلى هذه الحياة وقوّتا الشمس وChiron مدمجتان في حزمة واحدة. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم مع عتبة بين النظام الأرضي والنظام الأبعد، حيث يتحول الألم القديم إلى ينبوع خدمة، وتطلب الكرما أن يُتقن استعمال إحداهما حين تُتقن الأخرى. غالباً يحمل صاحب التركيب ذاكرة قديمة استُعملت فيها القوتان منفصلتين أو في خلاف، فجاءت اللحظة لدمجهما في فعل أخلاقي واحد. يصبح المجال الذي يقع فيه الاقتران ساحة العمل المركزية، حيث تتركز أكبر طاقة وأكبر اختبار. التقدم لا يأتي من تفضيل قوة على أخرى، بل من السماح لكل منهما بأن تكشف الأخرى وتربّيها.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والجرح الذي لا يندمل ومنه يفيض الشفاء للآخر في يد واحدة دون أن يسحق أحدهما الآخر. الخطر المتصلب يظهر حين يجمد التركيب في عادة مغلقة، فيصير التحجر في صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب متشابكاً مع تجمد في صورة الضحية المزمنة، ويفقد المرء قدرة التمييز. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الاقتران فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي مغذّى بـ ادعاء دور المعالج المخلِّص دون مرور بالعمل الداخلي، ويُخطئ شدة الاندماج بدليل صحته. التوازن الحي يطلب وعياً يقظاً يفصل القوتين لحظةً ليعيد دمجهما بحرية، فيحركهما المرء بقصد لا بانجراف.,Reinhart — Chiron and the Healing Journey; Tompkins — Aspects in Astrology; Hand — Horoscope Symbols,filled,
