template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
40,The Fourfold/Ninefold Being in the Chart,Esoteric Overlays,,,,T40_Ninefold,Mapping chart to physical/etheric/astral/I/soul members,,,,,pending,
41,Planetary Sphere Descent,Esoteric Overlays,,,,T41_SphereDescent,Soul's pre-natal journey through 7 spheres — Saturn→Moon,,,,,pending,
42,Biographical Rhythm Reading,Esoteric Overlays,,,,T42_Rhythms,7-year cycles mapped to chart activations,,,,,pending,
43,Temperament Analysis,Esoteric Overlays,,,,T43_Temperament_Choleric,Choleric temperament × chart signature,,,,,pending,
43,Temperament Analysis,Esoteric Overlays,,,,T43_Temperament_Sanguine,Sanguine temperament × chart signature,,,,,pending,
43,Temperament Analysis,Esoteric Overlays,,,,T43_Temperament_Melancholic,Melancholic temperament × chart signature,,,,,pending,
43,Temperament Analysis,Esoteric Overlays,,,,T43_Temperament_Phlegmatic,Phlegmatic temperament × chart signature,,,,,pending,
44,The Redemption Arc in the Chart,Esoteric Overlays,,,,T44_RedemptionArc,Sun + Chiron + nodal axis — the wound as redemption,,,,,pending,
45,Spiritual Age Overlay,Esoteric Overlays,,,,T45_SpiritualAge,Current spiritual age × chart signature — generational task,,,,,pending,
46,Reading of a Transit (Inscriptive),Esoteric Overlays,,,,T46_InscriptiveTransit,What is being karmically inscribed — temporal × karmic overlay,,,,,pending,
47,The Twelve World Views,Esoteric Overlays,,,,T47_TwelveWorldViews,Each sign maps to a fundamental epistemological posture,,,,,pending,
48,Epoch Placement,Esoteric Overlays,,,,T48_Epoch,Which historical epoch the soul's karma originates in,,,,,pending,
