template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
10,Opposition (180°),Aspect Templates,الشمس,القمر,مقابلة,T10_Sun_Moon,Sun مقابلة Moon,مقابلة الشمس مع القمر تضع جوهر الهوية وإرادة الأنا المركزية في مواجهة مباشرة مع الحياة الشعورية والذاكرة العاطفية والحاجة إلى الانتماء على طرفي محور واحد، فيرى كل قطب الآخر مرآة لما يحمله في عمقه. يقرأ التقليد هذا التركيب توتراً قطبياً يطلب التكامل عبر المسافة، إذ تسعى كل قوة إلى استكمال ذاتها بالقوة المقابلة وتنفر منها في الآن نفسه. يعيش الشخص طرفاً من المحور داخله بينما يلتقي الطرف الآخر خارجاً، في الشريك أو الخصم الذي يفرض ما لم يُعترف به. التوتر محور يُعاش بوعي حتى يكشف كل قطب الكمال في الآخر.,على المستوى التطوري، تشير المقابلة إلى أن النفس جاءت وقد فُصلت فيها قوتا الشمس والقمر إلى قطبين، فحُمل كل قطب بمعزل عن الآخر في طبقات السيرة الكرمية. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم في طرف من المحور، ويلتقي السجل العاطفي الذي تحمله النفس من حيوات سابقة وعادات الأمان القديمة في الطرف المقابل، وتحمل النفس ميلاً قديماً إلى الاستيطان في أحد القطبين وإسقاط الآخر على العالم. ما يُنفى في الذات يظهر في الشريك أو الخصم حتى يُلتقط الدرس. تطلب الكرما أن يُستعاد القطب المُسقَط ويُعترف به نصفاً تُرك في الظل، فيعود المحور إلى داخل الكائن.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والحياة الشعورية والذاكرة العاطفية والحاجة إلى الانتماء طرفي محور واحد، فيستعيد ما يُسقطه على الآخر ويعترف به نصفاً من ذاته. الخطر المتصلب يظهر حين يتمسك بقطب ويرفض المقابل، فيغرق في تحجر صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب ويرى تشبث بأنماط شعورية موروثة لا تخدم الحاضر في الآخرين دون أن يراه في نفسه. الخطر الوهمي يظهر حين يحسم التوتر بالقفز إلى قطب والمبالغة فيه، فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي أو في انجراف في موجات عاطفية بلا مرساة واعية ويخلط حدة الانفعال بالحقيقة. التوازن الحي وعي يحمل القطبين على مسافة واحدة من القلب، فيتحرك بينهما بحرية ويصير المحور موقعه الواعي.,Ebertin — Combination of Stellar Influences; Tierney — Dynamics of Aspect Analysis; Tompkins — Aspects in Astrology,filled,
10,Opposition (180°),Aspect Templates,الشمس,عطارد,مقابلة,T10_Sun_Mercury,Sun مقابلة Mercury,مقابلة الشمس مع عطارد تضع جوهر الهوية وإرادة الأنا المركزية في مواجهة مباشرة مع العقل اليقظ والكلمة والربط بين المعاني على طرفي محور واحد، فيرى كل قطب الآخر مرآة لما يحمله في عمقه. يقرأ التقليد هذا التركيب توتراً قطبياً يطلب التكامل عبر المسافة، إذ تسعى كل قوة إلى استكمال ذاتها بالقوة المقابلة وتنفر منها في الآن نفسه. يعيش الشخص طرفاً من المحور داخله بينما يلتقي الطرف الآخر خارجاً، في الشريك أو الخصم الذي يفرض ما لم يُعترف به. التوتر محور يُعاش بوعي حتى يكشف كل قطب الكمال في الآخر.,على المستوى التطوري، تشير المقابلة إلى أن النفس جاءت وقد فُصلت فيها قوتا الشمس وعطارد إلى قطبين، فحُمل كل قطب بمعزل عن الآخر في طبقات السيرة الكرمية. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم في طرف من المحور، ويلتقي الوظيفة الرسولية للذهن التي تنقل ما تدركه الروح إلى لغة قابلة للتداول في الطرف المقابل، وتحمل النفس ميلاً قديماً إلى الاستيطان في أحد القطبين وإسقاط الآخر على العالم. ما يُنفى في الذات يظهر في الشريك أو الخصم حتى يُلتقط الدرس. تطلب الكرما أن يُستعاد القطب المُسقَط ويُعترف به نصفاً تُرك في الظل، فيعود المحور إلى داخل الكائن.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والعقل اليقظ والكلمة والربط بين المعاني طرفي محور واحد، فيستعيد ما يُسقطه على الآخر ويعترف به نصفاً من ذاته. الخطر المتصلب يظهر حين يتمسك بقطب ويرفض المقابل، فيغرق في تحجر صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب ويرى جمود الفكر في صيغ منطقية باردة منقطعة عن الحياة في الآخرين دون أن يراه في نفسه. الخطر الوهمي يظهر حين يحسم التوتر بالقفز إلى قطب والمبالغة فيه، فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي أو في تشتت ذهني يقفز بين الأفكار دون استقرار ويخلط حدة الانفعال بالحقيقة. التوازن الحي وعي يحمل القطبين على مسافة واحدة من القلب، فيتحرك بينهما بحرية ويصير المحور موقعه الواعي.,Ebertin — Combination of Stellar Influences; Tierney — Dynamics of Aspect Analysis; Tompkins — Aspects in Astrology,filled,
10,Opposition (180°),Aspect Templates,الشمس,الزهرة,مقابلة,T10_Sun_Venus,Sun مقابلة Venus,مقابلة الشمس مع الزهرة تضع جوهر الهوية وإرادة الأنا المركزية في مواجهة مباشرة مع الحب والجمال وقيمة الأشياء والانجذاب على طرفي محور واحد، فيرى كل قطب الآخر مرآة لما يحمله في عمقه. يقرأ التقليد هذا التركيب توتراً قطبياً يطلب التكامل عبر المسافة، إذ تسعى كل قوة إلى استكمال ذاتها بالقوة المقابلة وتنفر منها في الآن نفسه. يعيش الشخص طرفاً من المحور داخله بينما يلتقي الطرف الآخر خارجاً، في الشريك أو الخصم الذي يفرض ما لم يُعترف به. التوتر محور يُعاش بوعي حتى يكشف كل قطب الكمال في الآخر.,على المستوى التطوري، تشير المقابلة إلى أن النفس جاءت وقد فُصلت فيها قوتا الشمس والزهرة إلى قطبين، فحُمل كل قطب بمعزل عن الآخر في طبقات السيرة الكرمية. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم في طرف من المحور، ويلتقي القدرة على بناء الصلة الحية بين الكائن وما يحبه ويقدّره في الطرف المقابل، وتحمل النفس ميلاً قديماً إلى الاستيطان في أحد القطبين وإسقاط الآخر على العالم. ما يُنفى في الذات يظهر في الشريك أو الخصم حتى يُلتقط الدرس. تطلب الكرما أن يُستعاد القطب المُسقَط ويُعترف به نصفاً تُرك في الظل، فيعود المحور إلى داخل الكائن.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والحب والجمال وقيمة الأشياء والانجذاب طرفي محور واحد، فيستعيد ما يُسقطه على الآخر ويعترف به نصفاً من ذاته. الخطر المتصلب يظهر حين يتمسك بقطب ويرفض المقابل، فيغرق في تحجر صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب ويرى تجميد القيم في صورة جمالية أو علاقاتية مغلقة في الآخرين دون أن يراه في نفسه. الخطر الوهمي يظهر حين يحسم التوتر بالقفز إلى قطب والمبالغة فيه، فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي أو في ذوبان في الجاذبية حتى فقدان الذات في الآخر ويخلط حدة الانفعال بالحقيقة. التوازن الحي وعي يحمل القطبين على مسافة واحدة من القلب، فيتحرك بينهما بحرية ويصير المحور موقعه الواعي.,Ebertin — Combination of Stellar Influences; Tierney — Dynamics of Aspect Analysis; Tompkins — Aspects in Astrology,filled,
10,Opposition (180°),Aspect Templates,الشمس,المريخ,مقابلة,T10_Sun_Mars,Sun مقابلة Mars,مقابلة الشمس مع المريخ تضع جوهر الهوية وإرادة الأنا المركزية في مواجهة مباشرة مع الإرادة الفاعلة والرغبة والشجاعة وفعل القرار على طرفي محور واحد، فيرى كل قطب الآخر مرآة لما يحمله في عمقه. يقرأ التقليد هذا التركيب توتراً قطبياً يطلب التكامل عبر المسافة، إذ تسعى كل قوة إلى استكمال ذاتها بالقوة المقابلة وتنفر منها في الآن نفسه. يعيش الشخص طرفاً من المحور داخله بينما يلتقي الطرف الآخر خارجاً، في الشريك أو الخصم الذي يفرض ما لم يُعترف به. التوتر محور يُعاش بوعي حتى يكشف كل قطب الكمال في الآخر.,على المستوى التطوري، تشير المقابلة إلى أن النفس جاءت وقد فُصلت فيها قوتا الشمس والمريخ إلى قطبين، فحُمل كل قطب بمعزل عن الآخر في طبقات السيرة الكرمية. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم في طرف من المحور، ويلتقي القوة التي تحول النية إلى حركة ملموسة في العالم المادي في الطرف المقابل، وتحمل النفس ميلاً قديماً إلى الاستيطان في أحد القطبين وإسقاط الآخر على العالم. ما يُنفى في الذات يظهر في الشريك أو الخصم حتى يُلتقط الدرس. تطلب الكرما أن يُستعاد القطب المُسقَط ويُعترف به نصفاً تُرك في الظل، فيعود المحور إلى داخل الكائن.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والإرادة الفاعلة والرغبة والشجاعة وفعل القرار طرفي محور واحد، فيستعيد ما يُسقطه على الآخر ويعترف به نصفاً من ذاته. الخطر المتصلب يظهر حين يتمسك بقطب ويرفض المقابل، فيغرق في تحجر صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب ويرى عدوانية متيبسة أو كبت يحوّل الإرادة إلى مرض داخلي في الآخرين دون أن يراه في نفسه. الخطر الوهمي يظهر حين يحسم التوتر بالقفز إلى قطب والمبالغة فيه، فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي أو في اندفاع بلا تمييز يحرق ما حوله ويخلط حدة الانفعال بالحقيقة. التوازن الحي وعي يحمل القطبين على مسافة واحدة من القلب، فيتحرك بينهما بحرية ويصير المحور موقعه الواعي.,Ebertin — Combination of Stellar Influences; Tierney — Dynamics of Aspect Analysis; Tompkins — Aspects in Astrology,filled,
10,Opposition (180°),Aspect Templates,الشمس,المشتري,مقابلة,T10_Sun_Jupiter,Sun مقابلة Jupiter,مقابلة الشمس مع المشتري تضع جوهر الهوية وإرادة الأنا المركزية في مواجهة مباشرة مع التوسع والمعنى والإيمان والبحث الفلسفي على طرفي محور واحد، فيرى كل قطب الآخر مرآة لما يحمله في عمقه. يقرأ التقليد هذا التركيب توتراً قطبياً يطلب التكامل عبر المسافة، إذ تسعى كل قوة إلى استكمال ذاتها بالقوة المقابلة وتنفر منها في الآن نفسه. يعيش الشخص طرفاً من المحور داخله بينما يلتقي الطرف الآخر خارجاً، في الشريك أو الخصم الذي يفرض ما لم يُعترف به. التوتر محور يُعاش بوعي حتى يكشف كل قطب الكمال في الآخر.,على المستوى التطوري، تشير المقابلة إلى أن النفس جاءت وقد فُصلت فيها قوتا الشمس والمشتري إلى قطبين، فحُمل كل قطب بمعزل عن الآخر في طبقات السيرة الكرمية. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم في طرف من المحور، ويلتقي الانفتاح الذي يربط الفرد بنظام أكبر من الكون والمعنى في الطرف المقابل، وتحمل النفس ميلاً قديماً إلى الاستيطان في أحد القطبين وإسقاط الآخر على العالم. ما يُنفى في الذات يظهر في الشريك أو الخصم حتى يُلتقط الدرس. تطلب الكرما أن يُستعاد القطب المُسقَط ويُعترف به نصفاً تُرك في الظل، فيعود المحور إلى داخل الكائن.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والتوسع والمعنى والإيمان والبحث الفلسفي طرفي محور واحد، فيستعيد ما يُسقطه على الآخر ويعترف به نصفاً من ذاته. الخطر المتصلب يظهر حين يتمسك بقطب ويرفض المقابل، فيغرق في تحجر صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب ويرى عقيدة جامدة تختزل المعنى في صيغة واحدة في الآخرين دون أن يراه في نفسه. الخطر الوهمي يظهر حين يحسم التوتر بالقفز إلى قطب والمبالغة فيه، فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي أو في تفاؤل وهمي وتضخم يفقد التماس مع الواقع ويخلط حدة الانفعال بالحقيقة. التوازن الحي وعي يحمل القطبين على مسافة واحدة من القلب، فيتحرك بينهما بحرية ويصير المحور موقعه الواعي.,Tierney — Dynamics of Aspect Analysis; Tompkins — Aspects in Astrology,filled,
10,Opposition (180°),Aspect Templates,الشمس,زحل,مقابلة,T10_Sun_Saturn,Sun مقابلة Saturn,مقابلة الشمس مع زحل تضع جوهر الهوية وإرادة الأنا المركزية في مواجهة مباشرة مع البنية والحد والزمن والمسؤولية والانضباط على طرفي محور واحد، فيرى كل قطب الآخر مرآة لما يحمله في عمقه. يقرأ التقليد هذا التركيب توتراً قطبياً يطلب التكامل عبر المسافة، إذ تسعى كل قوة إلى استكمال ذاتها بالقوة المقابلة وتنفر منها في الآن نفسه. يعيش الشخص طرفاً من المحور داخله بينما يلتقي الطرف الآخر خارجاً، في الشريك أو الخصم الذي يفرض ما لم يُعترف به. التوتر محور يُعاش بوعي حتى يكشف كل قطب الكمال في الآخر.,على المستوى التطوري، تشير المقابلة إلى أن النفس جاءت وقد فُصلت فيها قوتا الشمس وزحل إلى قطبين، فحُمل كل قطب بمعزل عن الآخر في طبقات السيرة الكرمية. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم في طرف من المحور، ويلتقي حارس العتبة الذي يفرض على النفس أن تتجسد في إطار وتلتزم بثمن التجسد في الطرف المقابل، وتحمل النفس ميلاً قديماً إلى الاستيطان في أحد القطبين وإسقاط الآخر على العالم. ما يُنفى في الذات يظهر في الشريك أو الخصم حتى يُلتقط الدرس. تطلب الكرما أن يُستعاد القطب المُسقَط ويُعترف به نصفاً تُرك في الظل، فيعود المحور إلى داخل الكائن.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والبنية والحد والزمن والمسؤولية والانضباط طرفي محور واحد، فيستعيد ما يُسقطه على الآخر ويعترف به نصفاً من ذاته. الخطر المتصلب يظهر حين يتمسك بقطب ويرفض المقابل، فيغرق في تحجر صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب ويرى انكماش خوفي وقمع يقطع الحيوية باسم الواجب في الآخرين دون أن يراه في نفسه. الخطر الوهمي يظهر حين يحسم التوتر بالقفز إلى قطب والمبالغة فيه، فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي أو في ادعاء سلطة وحكمة قبل أوانهما ويخلط حدة الانفعال بالحقيقة. التوازن الحي وعي يحمل القطبين على مسافة واحدة من القلب، فيتحرك بينهما بحرية ويصير المحور موقعه الواعي.,Greene — Saturn: A New Look at an Old Devil; Tierney — Dynamics of Aspect Analysis; Tompkins — Aspects in Astrology,filled,
10,Opposition (180°),Aspect Templates,الشمس,أورانوس,مقابلة,T10_Sun_Uranus,Sun مقابلة Uranus,مقابلة الشمس مع أورانوس تضع جوهر الهوية وإرادة الأنا المركزية في مواجهة مباشرة مع الكسر والومضة والحرية والأصالة الفردية على طرفي محور واحد، فيرى كل قطب الآخر مرآة لما يحمله في عمقه. يقرأ التقليد هذا التركيب توتراً قطبياً يطلب التكامل عبر المسافة، إذ تسعى كل قوة إلى استكمال ذاتها بالقوة المقابلة وتنفر منها في الآن نفسه. يعيش الشخص طرفاً من المحور داخله بينما يلتقي الطرف الآخر خارجاً، في الشريك أو الخصم الذي يفرض ما لم يُعترف به. التوتر محور يُعاش بوعي حتى يكشف كل قطب الكمال في الآخر.,على المستوى التطوري، تشير المقابلة إلى أن النفس جاءت وقد فُصلت فيها قوتا الشمس وأورانوس إلى قطبين، فحُمل كل قطب بمعزل عن الآخر في طبقات السيرة الكرمية. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم في طرف من المحور، ويلتقي القوة التي توقظ الفرد من تواطؤ الجماعة وتطالبه بصوته الحر في الطرف المقابل، وتحمل النفس ميلاً قديماً إلى الاستيطان في أحد القطبين وإسقاط الآخر على العالم. ما يُنفى في الذات يظهر في الشريك أو الخصم حتى يُلتقط الدرس. تطلب الكرما أن يُستعاد القطب المُسقَط ويُعترف به نصفاً تُرك في الظل، فيعود المحور إلى داخل الكائن.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والكسر والومضة والحرية والأصالة الفردية طرفي محور واحد، فيستعيد ما يُسقطه على الآخر ويعترف به نصفاً من ذاته. الخطر المتصلب يظهر حين يتمسك بقطب ويرفض المقابل، فيغرق في تحجر صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب ويرى تمرد قسري آلي يكسر فقط من أجل الكسر في الآخرين دون أن يراه في نفسه. الخطر الوهمي يظهر حين يحسم التوتر بالقفز إلى قطب والمبالغة فيه، فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي أو في انفصال فوقي يعتقد نفسه فوق كل قانون ويخلط حدة الانفعال بالحقيقة. التوازن الحي وعي يحمل القطبين على مسافة واحدة من القلب، فيتحرك بينهما بحرية ويصير المحور موقعه الواعي.,Hand — Horoscope Symbols; Tierney — Dynamics of Aspect Analysis; Tompkins — Aspects in Astrology,filled,
10,Opposition (180°),Aspect Templates,الشمس,نبتون,مقابلة,T10_Sun_Neptune,Sun مقابلة Neptune,مقابلة الشمس مع نبتون تضع جوهر الهوية وإرادة الأنا المركزية في مواجهة مباشرة مع الإذابة والحلم والشفافية والاتصال بما هو وراء الحدود على طرفي محور واحد، فيرى كل قطب الآخر مرآة لما يحمله في عمقه. يقرأ التقليد هذا التركيب توتراً قطبياً يطلب التكامل عبر المسافة، إذ تسعى كل قوة إلى استكمال ذاتها بالقوة المقابلة وتنفر منها في الآن نفسه. يعيش الشخص طرفاً من المحور داخله بينما يلتقي الطرف الآخر خارجاً، في الشريك أو الخصم الذي يفرض ما لم يُعترف به. التوتر محور يُعاش بوعي حتى يكشف كل قطب الكمال في الآخر.,على المستوى التطوري، تشير المقابلة إلى أن النفس جاءت وقد فُصلت فيها قوتا الشمس ونبتون إلى قطبين، فحُمل كل قطب بمعزل عن الآخر في طبقات السيرة الكرمية. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم في طرف من المحور، ويلتقي الانحلال الذي يهيّئ النفس للاتصال بطبقات الروح خارج صورتها المنفصلة في الطرف المقابل، وتحمل النفس ميلاً قديماً إلى الاستيطان في أحد القطبين وإسقاط الآخر على العالم. ما يُنفى في الذات يظهر في الشريك أو الخصم حتى يُلتقط الدرس. تطلب الكرما أن يُستعاد القطب المُسقَط ويُعترف به نصفاً تُرك في الظل، فيعود المحور إلى داخل الكائن.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والإذابة والحلم والشفافية والاتصال بما هو وراء الحدود طرفي محور واحد، فيستعيد ما يُسقطه على الآخر ويعترف به نصفاً من ذاته. الخطر المتصلب يظهر حين يتمسك بقطب ويرفض المقابل، فيغرق في تحجر صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب ويرى هروب وضباب وفقدان للحدود يمحو الذات في الآخرين دون أن يراه في نفسه. الخطر الوهمي يظهر حين يحسم التوتر بالقفز إلى قطب والمبالغة فيه، فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي أو في ادعاء روحاني وتماهٍ مع المنقذ الكوني ويخلط حدة الانفعال بالحقيقة. التوازن الحي وعي يحمل القطبين على مسافة واحدة من القلب، فيتحرك بينهما بحرية ويصير المحور موقعه الواعي.,"Arroyo — Astrology, Karma & Transformation; Hand — Horoscope Symbols; Tierney — Dynamics of Aspect Analysis",filled,
10,Opposition (180°),Aspect Templates,الشمس,بلوتو,مقابلة,T10_Sun_Pluto,Sun مقابلة Pluto,مقابلة الشمس مع بلوتو تضع جوهر الهوية وإرادة الأنا المركزية في مواجهة مباشرة مع الموت والولادة والسلطة العميقة والتحول الجذري على طرفي محور واحد، فيرى كل قطب الآخر مرآة لما يحمله في عمقه. يقرأ التقليد هذا التركيب توتراً قطبياً يطلب التكامل عبر المسافة، إذ تسعى كل قوة إلى استكمال ذاتها بالقوة المقابلة وتنفر منها في الآن نفسه. يعيش الشخص طرفاً من المحور داخله بينما يلتقي الطرف الآخر خارجاً، في الشريك أو الخصم الذي يفرض ما لم يُعترف به. التوتر محور يُعاش بوعي حتى يكشف كل قطب الكمال في الآخر.,على المستوى التطوري، تشير المقابلة إلى أن النفس جاءت وقد فُصلت فيها قوتا الشمس وبلوتو إلى قطبين، فحُمل كل قطب بمعزل عن الآخر في طبقات السيرة الكرمية. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم في طرف من المحور، ويلتقي القوة التي تهدم الصور البالية في النفس لتسمح بميلاد طبقة جديدة من الكائن في الطرف المقابل، وتحمل النفس ميلاً قديماً إلى الاستيطان في أحد القطبين وإسقاط الآخر على العالم. ما يُنفى في الذات يظهر في الشريك أو الخصم حتى يُلتقط الدرس. تطلب الكرما أن يُستعاد القطب المُسقَط ويُعترف به نصفاً تُرك في الظل، فيعود المحور إلى داخل الكائن.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والموت والولادة والسلطة العميقة والتحول الجذري طرفي محور واحد، فيستعيد ما يُسقطه على الآخر ويعترف به نصفاً من ذاته. الخطر المتصلب يظهر حين يتمسك بقطب ويرفض المقابل، فيغرق في تحجر صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب ويرى هوس بالسيطرة وتشبث بالقديم خوفاً من الفناء في الآخرين دون أن يراه في نفسه. الخطر الوهمي يظهر حين يحسم التوتر بالقفز إلى قطب والمبالغة فيه، فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي أو في إغراق في الظلال والهاوية بوصفهما هوية ويخلط حدة الانفعال بالحقيقة. التوازن الحي وعي يحمل القطبين على مسافة واحدة من القلب، فيتحرك بينهما بحرية ويصير المحور موقعه الواعي.,"Arroyo — Astrology, Karma & Transformation; Hand — Horoscope Symbols; Tierney — Dynamics of Aspect Analysis",filled,
10,Opposition (180°),Aspect Templates,الشمس,كيرون,مقابلة,T10_Sun_Chiron,Sun مقابلة Chiron,مقابلة الشمس مع كيرون تضع جوهر الهوية وإرادة الأنا المركزية في مواجهة مباشرة مع الجرح الذي لا يندمل ومنه يفيض الشفاء للآخر على طرفي محور واحد، فيرى كل قطب الآخر مرآة لما يحمله في عمقه. يقرأ التقليد هذا التركيب توتراً قطبياً يطلب التكامل عبر المسافة، إذ تسعى كل قوة إلى استكمال ذاتها بالقوة المقابلة وتنفر منها في الآن نفسه. يعيش الشخص طرفاً من المحور داخله بينما يلتقي الطرف الآخر خارجاً، في الشريك أو الخصم الذي يفرض ما لم يُعترف به. التوتر محور يُعاش بوعي حتى يكشف كل قطب الكمال في الآخر.,على المستوى التطوري، تشير المقابلة إلى أن النفس جاءت وقد فُصلت فيها قوتا الشمس وكيرون إلى قطبين، فحُمل كل قطب بمعزل عن الآخر في طبقات السيرة الكرمية. يلتقي نواة الذات التي تختار أن تتجسد لتصبح حاضرة في العالم في طرف من المحور، ويلتقي العتبة بين النظام الأرضي والنظام الأبعد حيث يتحول الألم القديم إلى ينبوع خدمة في الطرف المقابل، وتحمل النفس ميلاً قديماً إلى الاستيطان في أحد القطبين وإسقاط الآخر على العالم. ما يُنفى في الذات يظهر في الشريك أو الخصم حتى يُلتقط الدرس. تطلب الكرما أن يُستعاد القطب المُسقَط ويُعترف به نصفاً تُرك في الظل، فيعود المحور إلى داخل الكائن.,المهمة أن يحمل الإنسان جوهر الهوية وإرادة الأنا المركزية والجرح الذي لا يندمل ومنه يفيض الشفاء للآخر طرفي محور واحد، فيستعيد ما يُسقطه على الآخر ويعترف به نصفاً من ذاته. الخطر المتصلب يظهر حين يتمسك بقطب ويرفض المقابل، فيغرق في تحجر صورة ذاتية مغلقة لا تسمح بتدفق حي من القلب ويرى تجمد في صورة الضحية المزمنة في الآخرين دون أن يراه في نفسه. الخطر الوهمي يظهر حين يحسم التوتر بالقفز إلى قطب والمبالغة فيه، فيقع في تضخم الأنا حتى تبتلع كل شيء وتتحول إلى مركز وهمي أو في ادعاء دور المعالج المخلِّص دون مرور بالعمل الداخلي ويخلط حدة الانفعال بالحقيقة. التوازن الحي وعي يحمل القطبين على مسافة واحدة من القلب، فيتحرك بينهما بحرية ويصير المحور موقعه الواعي.,Reinhart — Chiron and the Healing Journey; Hand — Horoscope Symbols; Tierney — Dynamics of Aspect Analysis,filled,
