template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
12,Trine (120°),Aspect Templates,الشمس,القمر,تثليث,T12_Sun_Moon,Sun تثليث Moon,تثليث الشمس مع القمر يربط جوهر الهوية وإرادة الأنا المركزية مع الحياة الشعورية والذاكرة العاطفية والحاجة إلى الانتماء برباطٍ سَلِس متدفق. يقرأ التقليد التثليث ملكةً جاهزة لا تحتاج استدعاءً عنيفاً، إذ تتعاون القوتان دون احتكاك ظاهر. حيث تتحرك إحداهما تجد الأخرى مكانها فيها، فيبدو فعلهما المشترك كأنه مكتسب منذ زمن. يميل صاحب التركيب إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بنبرة الحياة الشعورية والذاكرة العاطفية والحاجة إلى الانتماء دون مجهود مرئي، فيستقبله الآخرون موهبةً طبيعية في المجال الذي يقع فيه.,على المستوى التطوري، يشير تثليث الشمس مع القمر إلى رصيدٍ كرميٍّ مكتسب في حيواتٍ سابقة وما زال متدفقاً اليوم. حملت النفس نواة ذاتٍ راسخة تعرف كيف تتجسد في إرادة مركزية واضحة، والتقت بها حساسية شعورية مصقولة وذاكرة باطنية تعرف ما تحتاجه النفس لتستقر، فتشكّل بينهما تفاهم داخلي صار متاحاً بلا جهد. تُعطى هذه القدرة أرضاً ثابتة، لا مهمةً تُكتسب من جديد. غير أن الكرما تطلب توظيف الموهبة الموروثة في خدمة عملٍ جديد، لا استهلاكها في تكرار النفس على ذاتها. المخاطرة أن يتحول الرصيد إلى وسادة مريحة فيُؤجَّل العمل الأصعب الذي جاءت النفس من أجله.,المهمة أن يحمل الإنسان يسر جوهر الهوية وإرادة الأنا المركزية وسلاسة الحياة الشعورية والذاكرة العاطفية والحاجة إلى الانتماء بوعيٍ يقظ يمنع تحولهما إلى راحةٍ مغلقة. الخطر المتصلب يظهر حين يصير التدفق عادة لا تُساءل، فيتقاطع تصلب صورة الذات في وضعها المريح وعدم اختبارها في الواقع مع ركون إلى الراحة العاطفية القديمة ورفض ما يزعزع المألوف، ويدور المرء في فلكٍ مألوف لا ينمو. الخطر الوهمي يظهر حين يُفسَّر اليسر دليلاً على الاستحقاق الفطري، فيُغذَّى تضخم بصورة ذاتٍ موهوبة بطبيعتها لا تحتاج إلى عمل بـ انجراف عاطفي بوصفه إلهاماً لا يخطئ، ويصير التثليث مأوى من الاختبار الحقيقي. التوازن الحي يطلب أن يُؤخذ هذا التدفق رصيداً يُنفَق على الجبهات الصعبة في الخريطة، فيتحول من نعمةٍ مكتفية بنفسها إلى أداةٍ تختارها الأنا الحرة بقصد.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
12,Trine (120°),Aspect Templates,الشمس,عطارد,تثليث,T12_Sun_Mercury,Sun تثليث Mercury,تثليث الشمس مع عطارد يربط جوهر الهوية وإرادة الأنا المركزية مع العقل اليقظ والكلمة والربط بين المعاني برباطٍ سَلِس متدفق. يقرأ التقليد التثليث ملكةً جاهزة لا تحتاج استدعاءً عنيفاً، إذ تتعاون القوتان دون احتكاك ظاهر. حيث تتحرك إحداهما تجد الأخرى مكانها فيها، فيبدو فعلهما المشترك كأنه مكتسب منذ زمن. يميل صاحب التركيب إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بنبرة العقل اليقظ والكلمة والربط بين المعاني دون مجهود مرئي، فيستقبله الآخرون موهبةً طبيعية في المجال الذي يقع فيه.,على المستوى التطوري، يشير تثليث الشمس مع عطارد إلى رصيدٍ كرميٍّ مكتسب في حيواتٍ سابقة وما زال متدفقاً اليوم. حملت النفس نواة ذاتٍ راسخة تعرف كيف تتجسد في إرادة مركزية واضحة، والتقت بها ذكاء متيقظ وقدرة على الربط بين المعاني وصياغتها في كلمة، فتشكّل بينهما تفاهم داخلي صار متاحاً بلا جهد. تُعطى هذه القدرة أرضاً ثابتة، لا مهمةً تُكتسب من جديد. غير أن الكرما تطلب توظيف الموهبة الموروثة في خدمة عملٍ جديد، لا استهلاكها في تكرار النفس على ذاتها. المخاطرة أن يتحول الرصيد إلى وسادة مريحة فيُؤجَّل العمل الأصعب الذي جاءت النفس من أجله.,المهمة أن يحمل الإنسان يسر جوهر الهوية وإرادة الأنا المركزية وسلاسة العقل اليقظ والكلمة والربط بين المعاني بوعيٍ يقظ يمنع تحولهما إلى راحةٍ مغلقة. الخطر المتصلب يظهر حين يصير التدفق عادة لا تُساءل، فيتقاطع تصلب صورة الذات في وضعها المريح وعدم اختبارها في الواقع مع اكتفاء بسلاسة الكلام دون اختبار صدقه أو عمقه، ويدور المرء في فلكٍ مألوف لا ينمو. الخطر الوهمي يظهر حين يُفسَّر اليسر دليلاً على الاستحقاق الفطري، فيُغذَّى تضخم بصورة ذاتٍ موهوبة بطبيعتها لا تحتاج إلى عمل بـ ثقة مفرطة بالعقل تجعله يدّعي ما لم يعِشه، ويصير التثليث مأوى من الاختبار الحقيقي. التوازن الحي يطلب أن يُؤخذ هذا التدفق رصيداً يُنفَق على الجبهات الصعبة في الخريطة، فيتحول من نعمةٍ مكتفية بنفسها إلى أداةٍ تختارها الأنا الحرة بقصد.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
12,Trine (120°),Aspect Templates,الشمس,الزهرة,تثليث,T12_Sun_Venus,Sun تثليث Venus,تثليث الشمس مع الزهرة يربط جوهر الهوية وإرادة الأنا المركزية مع الحب والجمال وقيمة الأشياء والانجذاب برباطٍ سَلِس متدفق. يقرأ التقليد التثليث ملكةً جاهزة لا تحتاج استدعاءً عنيفاً، إذ تتعاون القوتان دون احتكاك ظاهر. حيث تتحرك إحداهما تجد الأخرى مكانها فيها، فيبدو فعلهما المشترك كأنه مكتسب منذ زمن. يميل صاحب التركيب إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بنبرة الحب والجمال وقيمة الأشياء والانجذاب دون مجهود مرئي، فيستقبله الآخرون موهبةً طبيعية في المجال الذي يقع فيه.,على المستوى التطوري، يشير تثليث الشمس مع الزهرة إلى رصيدٍ كرميٍّ مكتسب في حيواتٍ سابقة وما زال متدفقاً اليوم. حملت النفس نواة ذاتٍ راسخة تعرف كيف تتجسد في إرادة مركزية واضحة، والتقت بها ذوق ناضج وحس بالقيمة وقدرة على بناء صلات حية، فتشكّل بينهما تفاهم داخلي صار متاحاً بلا جهد. تُعطى هذه القدرة أرضاً ثابتة، لا مهمةً تُكتسب من جديد. غير أن الكرما تطلب توظيف الموهبة الموروثة في خدمة عملٍ جديد، لا استهلاكها في تكرار النفس على ذاتها. المخاطرة أن يتحول الرصيد إلى وسادة مريحة فيُؤجَّل العمل الأصعب الذي جاءت النفس من أجله.,المهمة أن يحمل الإنسان يسر جوهر الهوية وإرادة الأنا المركزية وسلاسة الحب والجمال وقيمة الأشياء والانجذاب بوعيٍ يقظ يمنع تحولهما إلى راحةٍ مغلقة. الخطر المتصلب يظهر حين يصير التدفق عادة لا تُساءل، فيتقاطع تصلب صورة الذات في وضعها المريح وعدم اختبارها في الواقع مع إدمان الجمال والتناغم السطحي على حساب الحقيقة الخشنة، ويدور المرء في فلكٍ مألوف لا ينمو. الخطر الوهمي يظهر حين يُفسَّر اليسر دليلاً على الاستحقاق الفطري، فيُغذَّى تضخم بصورة ذاتٍ موهوبة بطبيعتها لا تحتاج إلى عمل بـ ادعاء أن الجاذبية وحدها دليل على القيمة، ويصير التثليث مأوى من الاختبار الحقيقي. التوازن الحي يطلب أن يُؤخذ هذا التدفق رصيداً يُنفَق على الجبهات الصعبة في الخريطة، فيتحول من نعمةٍ مكتفية بنفسها إلى أداةٍ تختارها الأنا الحرة بقصد.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
12,Trine (120°),Aspect Templates,الشمس,المريخ,تثليث,T12_Sun_Mars,Sun تثليث Mars,تثليث الشمس مع المريخ يربط جوهر الهوية وإرادة الأنا المركزية مع الإرادة الفاعلة والرغبة والشجاعة وفعل القرار برباطٍ سَلِس متدفق. يقرأ التقليد التثليث ملكةً جاهزة لا تحتاج استدعاءً عنيفاً، إذ تتعاون القوتان دون احتكاك ظاهر. حيث تتحرك إحداهما تجد الأخرى مكانها فيها، فيبدو فعلهما المشترك كأنه مكتسب منذ زمن. يميل صاحب التركيب إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بنبرة الإرادة الفاعلة والرغبة والشجاعة وفعل القرار دون مجهود مرئي، فيستقبله الآخرون موهبةً طبيعية في المجال الذي يقع فيه.,على المستوى التطوري، يشير تثليث الشمس مع المريخ إلى رصيدٍ كرميٍّ مكتسب في حيواتٍ سابقة وما زال متدفقاً اليوم. حملت النفس نواة ذاتٍ راسخة تعرف كيف تتجسد في إرادة مركزية واضحة، والتقت بها إرادة فاعلة مدربة على تحويل النية إلى حركة محسوبة، فتشكّل بينهما تفاهم داخلي صار متاحاً بلا جهد. تُعطى هذه القدرة أرضاً ثابتة، لا مهمةً تُكتسب من جديد. غير أن الكرما تطلب توظيف الموهبة الموروثة في خدمة عملٍ جديد، لا استهلاكها في تكرار النفس على ذاتها. المخاطرة أن يتحول الرصيد إلى وسادة مريحة فيُؤجَّل العمل الأصعب الذي جاءت النفس من أجله.,المهمة أن يحمل الإنسان يسر جوهر الهوية وإرادة الأنا المركزية وسلاسة الإرادة الفاعلة والرغبة والشجاعة وفعل القرار بوعيٍ يقظ يمنع تحولهما إلى راحةٍ مغلقة. الخطر المتصلب يظهر حين يصير التدفق عادة لا تُساءل، فيتقاطع تصلب صورة الذات في وضعها المريح وعدم اختبارها في الواقع مع إنفاق الطاقة الفاعلة في مسارات سهلة لا تواجه مقاومة حقيقية، ويدور المرء في فلكٍ مألوف لا ينمو. الخطر الوهمي يظهر حين يُفسَّر اليسر دليلاً على الاستحقاق الفطري، فيُغذَّى تضخم بصورة ذاتٍ موهوبة بطبيعتها لا تحتاج إلى عمل بـ اندفاع يظن نفسه شجاعة لمجرد أنه يجد منفذاً سهلاً، ويصير التثليث مأوى من الاختبار الحقيقي. التوازن الحي يطلب أن يُؤخذ هذا التدفق رصيداً يُنفَق على الجبهات الصعبة في الخريطة، فيتحول من نعمةٍ مكتفية بنفسها إلى أداةٍ تختارها الأنا الحرة بقصد.,Tompkins — Aspects in Astrology; Tierney — Dynamics of Aspect Analysis,filled,
12,Trine (120°),Aspect Templates,الشمس,المشتري,تثليث,T12_Sun_Jupiter,Sun تثليث Jupiter,تثليث الشمس مع المشتري يربط جوهر الهوية وإرادة الأنا المركزية مع التوسع والمعنى والإيمان والبحث الفلسفي برباطٍ سَلِس متدفق. يقرأ التقليد التثليث ملكةً جاهزة لا تحتاج استدعاءً عنيفاً، إذ تتعاون القوتان دون احتكاك ظاهر. حيث تتحرك إحداهما تجد الأخرى مكانها فيها، فيبدو فعلهما المشترك كأنه مكتسب منذ زمن. يميل صاحب التركيب إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بنبرة التوسع والمعنى والإيمان والبحث الفلسفي دون مجهود مرئي، فيستقبله الآخرون موهبةً طبيعية في المجال الذي يقع فيه.,على المستوى التطوري، يشير تثليث الشمس مع المشتري إلى رصيدٍ كرميٍّ مكتسب في حيواتٍ سابقة وما زال متدفقاً اليوم. حملت النفس نواة ذاتٍ راسخة تعرف كيف تتجسد في إرادة مركزية واضحة، والتقت بها ثقة بالمعنى ورؤية تتسع وتربط الفرد بنظام أكبر، فتشكّل بينهما تفاهم داخلي صار متاحاً بلا جهد. تُعطى هذه القدرة أرضاً ثابتة، لا مهمةً تُكتسب من جديد. غير أن الكرما تطلب توظيف الموهبة الموروثة في خدمة عملٍ جديد، لا استهلاكها في تكرار النفس على ذاتها. المخاطرة أن يتحول الرصيد إلى وسادة مريحة فيُؤجَّل العمل الأصعب الذي جاءت النفس من أجله.,المهمة أن يحمل الإنسان يسر جوهر الهوية وإرادة الأنا المركزية وسلاسة التوسع والمعنى والإيمان والبحث الفلسفي بوعيٍ يقظ يمنع تحولهما إلى راحةٍ مغلقة. الخطر المتصلب يظهر حين يصير التدفق عادة لا تُساءل، فيتقاطع تصلب صورة الذات في وضعها المريح وعدم اختبارها في الواقع مع اطمئنان إلى رؤية متسعة لم تُختبر بضيق الواقع، ويدور المرء في فلكٍ مألوف لا ينمو. الخطر الوهمي يظهر حين يُفسَّر اليسر دليلاً على الاستحقاق الفطري، فيُغذَّى تضخم بصورة ذاتٍ موهوبة بطبيعتها لا تحتاج إلى عمل بـ تفاؤل وهمي وتضخم في الرؤية يفقد التماس مع الواقع، ويصير التثليث مأوى من الاختبار الحقيقي. التوازن الحي يطلب أن يُؤخذ هذا التدفق رصيداً يُنفَق على الجبهات الصعبة في الخريطة، فيتحول من نعمةٍ مكتفية بنفسها إلى أداةٍ تختارها الأنا الحرة بقصد.,Tompkins — Aspects in Astrology; Ebertin — Combination of Stellar Influences,filled,
12,Trine (120°),Aspect Templates,الشمس,زحل,تثليث,T12_Sun_Saturn,Sun تثليث Saturn,تثليث الشمس مع زحل يربط جوهر الهوية وإرادة الأنا المركزية مع البنية والحد والزمن والمسؤولية والانضباط برباطٍ سَلِس متدفق. يقرأ التقليد التثليث ملكةً جاهزة لا تحتاج استدعاءً عنيفاً، إذ تتعاون القوتان دون احتكاك ظاهر. حيث تتحرك إحداهما تجد الأخرى مكانها فيها، فيبدو فعلهما المشترك كأنه مكتسب منذ زمن. يميل صاحب التركيب إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بنبرة البنية والحد والزمن والمسؤولية والانضباط دون مجهود مرئي، فيستقبله الآخرون موهبةً طبيعية في المجال الذي يقع فيه.,على المستوى التطوري، يشير تثليث الشمس مع زحل إلى رصيدٍ كرميٍّ مكتسب في حيواتٍ سابقة وما زال متدفقاً اليوم. حملت النفس نواة ذاتٍ راسخة تعرف كيف تتجسد في إرادة مركزية واضحة، والتقت بها انضباط داخلي وقدرة على البناء في الزمن وتحمل ثمن التجسد، فتشكّل بينهما تفاهم داخلي صار متاحاً بلا جهد. تُعطى هذه القدرة أرضاً ثابتة، لا مهمةً تُكتسب من جديد. غير أن الكرما تطلب توظيف الموهبة الموروثة في خدمة عملٍ جديد، لا استهلاكها في تكرار النفس على ذاتها. المخاطرة أن يتحول الرصيد إلى وسادة مريحة فيُؤجَّل العمل الأصعب الذي جاءت النفس من أجله.,المهمة أن يحمل الإنسان يسر جوهر الهوية وإرادة الأنا المركزية وسلاسة البنية والحد والزمن والمسؤولية والانضباط بوعيٍ يقظ يمنع تحولهما إلى راحةٍ مغلقة. الخطر المتصلب يظهر حين يصير التدفق عادة لا تُساءل، فيتقاطع تصلب صورة الذات في وضعها المريح وعدم اختبارها في الواقع مع اتكاء على بنية قديمة محكمة ورفض ما يطلب بناءً جديداً، ويدور المرء في فلكٍ مألوف لا ينمو. الخطر الوهمي يظهر حين يُفسَّر اليسر دليلاً على الاستحقاق الفطري، فيُغذَّى تضخم بصورة ذاتٍ موهوبة بطبيعتها لا تحتاج إلى عمل بـ ادعاء سلطة وحكمة قبل أوانهما بحجة الاستحقاق الفطري، ويصير التثليث مأوى من الاختبار الحقيقي. التوازن الحي يطلب أن يُؤخذ هذا التدفق رصيداً يُنفَق على الجبهات الصعبة في الخريطة، فيتحول من نعمةٍ مكتفية بنفسها إلى أداةٍ تختارها الأنا الحرة بقصد.,Greene — Saturn: A New Look at an Old Devil; Tompkins — Aspects in Astrology,filled,
12,Trine (120°),Aspect Templates,الشمس,أورانوس,تثليث,T12_Sun_Uranus,Sun تثليث Uranus,تثليث الشمس مع أورانوس يربط جوهر الهوية وإرادة الأنا المركزية مع الكسر والومضة والحرية والأصالة الفردية برباطٍ سَلِس متدفق. يقرأ التقليد التثليث ملكةً جاهزة لا تحتاج استدعاءً عنيفاً، إذ تتعاون القوتان دون احتكاك ظاهر. حيث تتحرك إحداهما تجد الأخرى مكانها فيها، فيبدو فعلهما المشترك كأنه مكتسب منذ زمن. يميل صاحب التركيب إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بنبرة الكسر والومضة والحرية والأصالة الفردية دون مجهود مرئي، فيستقبله الآخرون موهبةً طبيعية في المجال الذي يقع فيه.,على المستوى التطوري، يشير تثليث الشمس مع أورانوس إلى رصيدٍ كرميٍّ مكتسب في حيواتٍ سابقة وما زال متدفقاً اليوم. حملت النفس نواة ذاتٍ راسخة تعرف كيف تتجسد في إرادة مركزية واضحة، والتقت بها حرية داخلية وقدرة على رؤية ما هو جديد وأصيل قبل غيره، فتشكّل بينهما تفاهم داخلي صار متاحاً بلا جهد. تُعطى هذه القدرة أرضاً ثابتة، لا مهمةً تُكتسب من جديد. غير أن الكرما تطلب توظيف الموهبة الموروثة في خدمة عملٍ جديد، لا استهلاكها في تكرار النفس على ذاتها. المخاطرة أن يتحول الرصيد إلى وسادة مريحة فيُؤجَّل العمل الأصعب الذي جاءت النفس من أجله.,المهمة أن يحمل الإنسان يسر جوهر الهوية وإرادة الأنا المركزية وسلاسة الكسر والومضة والحرية والأصالة الفردية بوعيٍ يقظ يمنع تحولهما إلى راحةٍ مغلقة. الخطر المتصلب يظهر حين يصير التدفق عادة لا تُساءل، فيتقاطع تصلب صورة الذات في وضعها المريح وعدم اختبارها في الواقع مع تكرار شكل من أشكال التميز الفردي حتى يصبح هو نفسه قالباً، ويدور المرء في فلكٍ مألوف لا ينمو. الخطر الوهمي يظهر حين يُفسَّر اليسر دليلاً على الاستحقاق الفطري، فيُغذَّى تضخم بصورة ذاتٍ موهوبة بطبيعتها لا تحتاج إلى عمل بـ انفصال فوقي يعتقد نفسه فوق كل قانون لمجرد أنه يومض، ويصير التثليث مأوى من الاختبار الحقيقي. التوازن الحي يطلب أن يُؤخذ هذا التدفق رصيداً يُنفَق على الجبهات الصعبة في الخريطة، فيتحول من نعمةٍ مكتفية بنفسها إلى أداةٍ تختارها الأنا الحرة بقصد.,Hand — Horoscope Symbols; Tierney — Dynamics of Aspect Analysis,filled,
12,Trine (120°),Aspect Templates,الشمس,نبتون,تثليث,T12_Sun_Neptune,Sun تثليث Neptune,تثليث الشمس مع نبتون يربط جوهر الهوية وإرادة الأنا المركزية مع الإذابة والحلم والشفافية والاتصال بما هو وراء الحدود برباطٍ سَلِس متدفق. يقرأ التقليد التثليث ملكةً جاهزة لا تحتاج استدعاءً عنيفاً، إذ تتعاون القوتان دون احتكاك ظاهر. حيث تتحرك إحداهما تجد الأخرى مكانها فيها، فيبدو فعلهما المشترك كأنه مكتسب منذ زمن. يميل صاحب التركيب إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بنبرة الإذابة والحلم والشفافية والاتصال بما هو وراء الحدود دون مجهود مرئي، فيستقبله الآخرون موهبةً طبيعية في المجال الذي يقع فيه.,على المستوى التطوري، يشير تثليث الشمس مع نبتون إلى رصيدٍ كرميٍّ مكتسب في حيواتٍ سابقة وما زال متدفقاً اليوم. حملت النفس نواة ذاتٍ راسخة تعرف كيف تتجسد في إرادة مركزية واضحة، والتقت بها نفاذية روحية وقدرة على الاتصال بما هو وراء الحدود المرئية، فتشكّل بينهما تفاهم داخلي صار متاحاً بلا جهد. تُعطى هذه القدرة أرضاً ثابتة، لا مهمةً تُكتسب من جديد. غير أن الكرما تطلب توظيف الموهبة الموروثة في خدمة عملٍ جديد، لا استهلاكها في تكرار النفس على ذاتها. المخاطرة أن يتحول الرصيد إلى وسادة مريحة فيُؤجَّل العمل الأصعب الذي جاءت النفس من أجله.,المهمة أن يحمل الإنسان يسر جوهر الهوية وإرادة الأنا المركزية وسلاسة الإذابة والحلم والشفافية والاتصال بما هو وراء الحدود بوعيٍ يقظ يمنع تحولهما إلى راحةٍ مغلقة. الخطر المتصلب يظهر حين يصير التدفق عادة لا تُساءل، فيتقاطع تصلب صورة الذات في وضعها المريح وعدم اختبارها في الواقع مع ذوبان لطيف في الأجواء الروحية دون التزام بصورة ملموسة، ويدور المرء في فلكٍ مألوف لا ينمو. الخطر الوهمي يظهر حين يُفسَّر اليسر دليلاً على الاستحقاق الفطري، فيُغذَّى تضخم بصورة ذاتٍ موهوبة بطبيعتها لا تحتاج إلى عمل بـ ادعاء روحاني وتماهٍ مع رسالة كونية لم تُختبر، ويصير التثليث مأوى من الاختبار الحقيقي. التوازن الحي يطلب أن يُؤخذ هذا التدفق رصيداً يُنفَق على الجبهات الصعبة في الخريطة، فيتحول من نعمةٍ مكتفية بنفسها إلى أداةٍ تختارها الأنا الحرة بقصد.,Tompkins — Aspects in Astrology; Hand — Horoscope Symbols,filled,
12,Trine (120°),Aspect Templates,الشمس,بلوتو,تثليث,T12_Sun_Pluto,Sun تثليث Pluto,تثليث الشمس مع بلوتو يربط جوهر الهوية وإرادة الأنا المركزية مع الموت والولادة والسلطة العميقة والتحول الجذري برباطٍ سَلِس متدفق. يقرأ التقليد التثليث ملكةً جاهزة لا تحتاج استدعاءً عنيفاً، إذ تتعاون القوتان دون احتكاك ظاهر. حيث تتحرك إحداهما تجد الأخرى مكانها فيها، فيبدو فعلهما المشترك كأنه مكتسب منذ زمن. يميل صاحب التركيب إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بنبرة الموت والولادة والسلطة العميقة والتحول الجذري دون مجهود مرئي، فيستقبله الآخرون موهبةً طبيعية في المجال الذي يقع فيه.,على المستوى التطوري، يشير تثليث الشمس مع بلوتو إلى رصيدٍ كرميٍّ مكتسب في حيواتٍ سابقة وما زال متدفقاً اليوم. حملت النفس نواة ذاتٍ راسخة تعرف كيف تتجسد في إرادة مركزية واضحة، والتقت بها قدرة على الدخول إلى الأعماق والخروج منها متجدداً، فتشكّل بينهما تفاهم داخلي صار متاحاً بلا جهد. تُعطى هذه القدرة أرضاً ثابتة، لا مهمةً تُكتسب من جديد. غير أن الكرما تطلب توظيف الموهبة الموروثة في خدمة عملٍ جديد، لا استهلاكها في تكرار النفس على ذاتها. المخاطرة أن يتحول الرصيد إلى وسادة مريحة فيُؤجَّل العمل الأصعب الذي جاءت النفس من أجله.,المهمة أن يحمل الإنسان يسر جوهر الهوية وإرادة الأنا المركزية وسلاسة الموت والولادة والسلطة العميقة والتحول الجذري بوعيٍ يقظ يمنع تحولهما إلى راحةٍ مغلقة. الخطر المتصلب يظهر حين يصير التدفق عادة لا تُساءل، فيتقاطع تصلب صورة الذات في وضعها المريح وعدم اختبارها في الواقع مع استخدام النفاذ إلى الأعماق دون دفع كامل ثمن التحول، ويدور المرء في فلكٍ مألوف لا ينمو. الخطر الوهمي يظهر حين يُفسَّر اليسر دليلاً على الاستحقاق الفطري، فيُغذَّى تضخم بصورة ذاتٍ موهوبة بطبيعتها لا تحتاج إلى عمل بـ إغراء بالقوة العميقة دون مساءلة لاستخدامها، ويصير التثليث مأوى من الاختبار الحقيقي. التوازن الحي يطلب أن يُؤخذ هذا التدفق رصيداً يُنفَق على الجبهات الصعبة في الخريطة، فيتحول من نعمةٍ مكتفية بنفسها إلى أداةٍ تختارها الأنا الحرة بقصد.,"Arroyo — Astrology, Karma & Transformation; Hand — Horoscope Symbols",filled,
12,Trine (120°),Aspect Templates,الشمس,كيرون,تثليث,T12_Sun_Chiron,Sun تثليث Chiron,تثليث الشمس مع كيرون يربط جوهر الهوية وإرادة الأنا المركزية مع الجرح الذي لا يندمل ومنه يفيض الشفاء للآخر برباطٍ سَلِس متدفق. يقرأ التقليد التثليث ملكةً جاهزة لا تحتاج استدعاءً عنيفاً، إذ تتعاون القوتان دون احتكاك ظاهر. حيث تتحرك إحداهما تجد الأخرى مكانها فيها، فيبدو فعلهما المشترك كأنه مكتسب منذ زمن. يميل صاحب التركيب إلى التعبير عن جوهر الهوية وإرادة الأنا المركزية بنبرة الجرح الذي لا يندمل ومنه يفيض الشفاء للآخر دون مجهود مرئي، فيستقبله الآخرون موهبةً طبيعية في المجال الذي يقع فيه.,على المستوى التطوري، يشير تثليث الشمس مع كيرون إلى رصيدٍ كرميٍّ مكتسب في حيواتٍ سابقة وما زال متدفقاً اليوم. حملت النفس نواة ذاتٍ راسخة تعرف كيف تتجسد في إرادة مركزية واضحة، والتقت بها حكمة الجرح التي تتحول إلى ينبوع شفاء للآخر، فتشكّل بينهما تفاهم داخلي صار متاحاً بلا جهد. تُعطى هذه القدرة أرضاً ثابتة، لا مهمةً تُكتسب من جديد. غير أن الكرما تطلب توظيف الموهبة الموروثة في خدمة عملٍ جديد، لا استهلاكها في تكرار النفس على ذاتها. المخاطرة أن يتحول الرصيد إلى وسادة مريحة فيُؤجَّل العمل الأصعب الذي جاءت النفس من أجله.,المهمة أن يحمل الإنسان يسر جوهر الهوية وإرادة الأنا المركزية وسلاسة الجرح الذي لا يندمل ومنه يفيض الشفاء للآخر بوعيٍ يقظ يمنع تحولهما إلى راحةٍ مغلقة. الخطر المتصلب يظهر حين يصير التدفق عادة لا تُساءل، فيتقاطع تصلب صورة الذات في وضعها المريح وعدم اختبارها في الواقع مع ارتداء صورة المعالج الحاذق دون مراجعة الجرح الخاص، ويدور المرء في فلكٍ مألوف لا ينمو. الخطر الوهمي يظهر حين يُفسَّر اليسر دليلاً على الاستحقاق الفطري، فيُغذَّى تضخم بصورة ذاتٍ موهوبة بطبيعتها لا تحتاج إلى عمل بـ ادعاء دور المخلِّص الجريح دون مرور بالعمل الداخلي، ويصير التثليث مأوى من الاختبار الحقيقي. التوازن الحي يطلب أن يُؤخذ هذا التدفق رصيداً يُنفَق على الجبهات الصعبة في الخريطة، فيتحول من نعمةٍ مكتفية بنفسها إلى أداةٍ تختارها الأنا الحرة بقصد.,Reinhart — Chiron and the Healing Journey; Tierney — Dynamics of Aspect Analysis,filled,
