template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
3,Planet Conjunct Angle,Natal Components,الشمس,الطالع (ASC),,T03_Sun_ASC,Sun on the ASC — highest biographical weight,اقتران الشمس بدرجة الطالع يضع جوهر الكائن في واجهة الحياة مباشرةً، فلا تتوسط بينه وبين العالم طبقة تُلطّفه أو تُخفيه. التقليد يعدّ الطالع المنزل الأول للحياة، والشمس فيه ترفع المولود إلى مرتبة الحضور القوي والإرادة الذاتية والفاعلية الظاهرة. الجسد يميل إلى أن يكون بيّناً، والشخصية ذات نفاذ واضح، والمصير الفردي يأخذ طابع البطولة الصامتة. هذا موضع المُلْك في حساب الفلكيين القدماء، وهو يحمل في طياته ميلاً للقيادة وحضوراً يصعب على الآخرين تجاهله، حتى حين يحاول صاحبه التواري.,اختارت النفس أن تولد بشمسها على عتبة الحياة لأن مشروع التفرد لا يحتمل التأجيل في هذه السيرة. الأنا الواعية الحرة مدعوة هنا إلى أن تتجسد بلا قناع ولا تأخير، فالعالم يطلب من هذا الكائن أن يكون ما هو منذ الخطوة الأولى. ثمة عادة من حيوات سابقة في الاحتجاب خلف ظل غيره أو خلف صورة جماعية، والشمس على الطالع تكسر هذا التواري وتجعل تأجيل الحضور غير ممكن. القوى الكونية التي تعمل من خلال هذا الموضع تطلب من الكائن أن يُترجم الجوهر الداخلي إلى سيرة ظاهرة، وأن يجعل من جسده ومن صوته ومن أسلوب مشيه في الأرض شهادةً على ما حُمِّل من نور.,الخطر المتصلب أن تتحول الشمس إلى أنانية مادية تحتكر الضوء وتعامل الآخرين كظلال، فيغلق الكائن على نفسه ويستهلك حضوره في تأكيد ذاته دون مضمون. الخطر الوهمي أن ينتفخ الإحساس بالدور البطولي حتى يصير الشخص في خياله مركز الكون ويفقد القدرة على القياس الواقعي. التوازن الحي يقوم على وعي أن قوة الحضور أمانة لا ملكية، وأن الشمس على الطالع تُضيء لتُرى وتُسترشد بها لا لتُعبد. المهمة أن يحمل الكائن وجهه بصدق دون أن يُسرَف في تلميعه ودون أن يخفيه خجلاً.,Tyl Synthesis & Counseling in Astrology; Hand Horoscope Symbols; Forrest The Inner Sky,filled,
3,Planet Conjunct Angle,Natal Components,الشمس,الداسن (DSC),,T03_Sun_DSC,Sun on the DSC — highest biographical weight,اقتران الشمس بالداسن يجعل جوهر الكائن يتفتح في مرآة الآخر لا في انعزال الذات. التقليد يربط الداسن بالشراكات والعلاقات الند للند والعدوّ المعلن، وحضور الشمس هنا يعني أن الهوية لا تكتمل إلا عبر اللقاء الحاد بالطرف المقابل. الحياة الزوجية والشراكات المهنية تأخذ ثقلاً مصيرياً، ويميل صاحب هذا الموضع إلى أن يجد أعمق ما فيه عبر شخص آخر يستفز جوهره. التقليد القديم ينظر إلى هذا الموضع بحذر لأن الشمس فيه تغرب، لكن المعنى الأعمق ليس الضعف بل تحويل الحضور إلى علاقة.,اختارت النفس هذا الموضع لأن درس هذه الحياة هو أن الأنا لا تُكتمل بمعزل عن العلاقة الأخلاقية بالآخر. ثمة تاريخ كرمي من الانكفاء على الذات أو من فرضها على الآخرين، وهذه السيرة تُبنى لتعليم الكائن أن نوره يحتاج إلى من يستقبله ليتم. الأنا الواعية الحرة تتطور هنا عبر مواجهة من يشبهها ومن يخالفها، وتتعلم أن المرآة الإنسانية ليست تهديداً للجوهر بل ميدان كشفه. القوى الكونية تعمل في هذا الكائن من خلال الشركاء الذين يضعهم القدر في طريقه، وكل علاقة قوية تصبح بوابة لتحقق ذاتي لم يكن ممكناً في الوحدة.,الخطر المتصلب أن يفرّغ الكائن نفسه في شريكه ويتحول إلى صدى لإرادة غيره، فتغرب شمسه فعلاً وتنطفئ في حياة الآخر. الخطر الوهمي أن يطلب من الشريك أن يكون حامل مجده ومرآة كماله، فيصير كل لقاء مسرحاً لاستجلاب التقدير وتغذية صورة متضخمة. التوازن الحي يقوم على لقاء ندّ بندّ، حيث يحضر الكائن بكامل جوهره ويسمح للآخر أن يحضر بكامل جوهره، فيكتشف نفسه من خلال الاحتكاك دون أن يذوب فيه أو يبتلعه.,Tyl Synthesis & Counseling in Astrology; Sue Tompkins The Contemporary Astrologer's Handbook; Hand Horoscope Symbols,filled,
3,Planet Conjunct Angle,Natal Components,الشمس,وسط السماء (MC),,T03_Sun_MC,Sun on the MC — highest biographical weight,اقتران الشمس بوسط السماء من أقوى المواضع التي يعرفها التقليد الفلكي، إذ تجتمع طاقة الجوهر الذاتي مع محور الدعوة الاجتماعية والمصير العام. التقليد يرى في هذا الموضع علامة الشخصيات التي يُكتب لها الظهور، الذين يرفعهم القدر إلى مواقع القيادة أو الإبداع المرئي. النداء المهني ليس مجرد وسيلة عيش بل امتداد لجوهر الكائن، وما يفعله في العالم هو ذاته من هو. السمعة والمكانة والاسم العائلي والإرث الاجتماعي كلها تأخذ وزناً ثقيلاً، والكائن مدفوع إلى أن يترك أثراً مرئياً قبل أن يغادر الحياة.,اختارت النفس أن تضع شمسها على ذروة السماء لأن هذه السيرة تحمل عبء التحقق العلني للجوهر. الأنا الواعية الحرة لا يمكنها أن تختبئ في هذه الحياة، فالقدر يدفعها إلى مواقع الرؤية والمسؤولية الاجتماعية. ثمة وعد كرمي بإنجاز ظاهر، لكنه مشروط بأن يكون النداء أصيلاً لا اقتراضاً من توقعات الأبوين أو الثقافة. القوى الكونية التي تعمل من خلال هذا الموضع تطلب أن يصبح العمل في العالم تعبيراً عن النور الداخلي لا غطاءً عليه. اسم الكائن سيُعرف، والسؤال هو فقط بأي معنى يُعرف وأي إرث يتركه لما بعده.,الخطر المتصلب أن يتحول الطموح إلى تسلق بارد للسلم الاجتماعي، فيُنجز الكائن خارجياً ويفرغ داخلياً ويصبح اسمه أكبر من روحه. الخطر الوهمي أن يتضخم الإحساس بالاستثنائية حتى يظن صاحبه أن العالم مدين له بالاعتراف، فيعيش في انتظار تتويج لا يأتي. التوازن الحي يقوم على فهم أن المكانة خدمة لا غاية، وأن الشمس على وسط السماء أُعطيت لتُضيء حقلاً عاماً لا لتُعبد. المهمة أن يبني الكائن مساراً مهنياً يستطيع أن يقف عنده في خلوته ويقول إن هذا ما جئت لأفعله.,Tyl Synthesis & Counseling in Astrology; Hand Horoscope Symbols; Liz Greene Saturn,filled,
3,Planet Conjunct Angle,Natal Components,الشمس,قاع السماء (IC),,T03_Sun_IC,Sun on the IC — highest biographical weight,اقتران الشمس بقاع السماء يضع جوهر الكائن في الأعماق الخفية لا على واجهة الحياة. التقليد يربط قاع السماء بالبيت والأصل والوالد المؤسس والذاكرة العائلية والمكان الذي يأوي إليه الإنسان في خلوته. الشمس هنا تنير من الداخل لا من الخارج، وصاحب هذا الموضع يجد جوهره في الجذور والعائلة والوطن والأرض التي ينتمي إليها. قد يبدو خفياً عن عيون الناس بينما يحمل في باطنه قوة شمسية كاملة، وحياته الباطنة أعمق من حضوره الظاهر. النصف الثاني من العمر يميل إلى أن يكون أغنى من النصف الأول لأن الشمس هنا تنضج في الداخل قبل أن تُشِع.,اختارت النفس أن تضع شمسها في قاع السماء لأن درس هذه الحياة هو إعادة بناء الأصل وإضاءة الذاكرة الموروثة. ثمة عمل عميق على شجرة العائلة، وعلى الجراح الأبوية، وعلى الإحساس بالانتماء إلى مكان وإلى دم. الأنا الواعية الحرة مدعوة إلى أن تتجذر قبل أن تثمر، وأن تجد في الباطن ما لا يجده غيرها في الظاهر. القوى الكونية تعمل من خلال هذا الكائن عبر علاقته بالبيت والأرض والأم والأب، وعبر استعادة ما طُمس من إرث أو ما انكسر من سلسلة. الإنجاز هنا داخلي لكنه يُغذي العالم من تحت.,الخطر المتصلب أن يبقى الكائن سجين العائلة والماضي، فيستهلك شمسه في إعادة إنتاج النمط الأبوي ويعجز عن الخروج إلى نهاره. الخطر الوهمي أن يتحول الانكفاء إلى انعزال متعالٍ يرفض الظهور بدعوى عمق الباطن. التوازن الحي يقوم على بناء جذور قوية تسمح بفروع طويلة، وعلى استثمار الباطن الغني في إثمار ظاهر بلا ضوضاء. المهمة أن يصالح الكائن أصله ويفهم أنه الحلقة التي تنير سلسلة طويلة من الذاكرة، وأن يستضيء بالداخل قبل أن يطلب الضوء من الخارج.,Forrest The Inner Sky; Tyl Synthesis & Counseling in Astrology; Hand Horoscope Symbols,filled,
3,Planet Conjunct Angle,Natal Components,القمر,الطالع (ASC),,T03_Moon_ASC,Moon on the ASC — highest biographical weight,اقتران القمر بالطالع يجعل الحياة العاطفية في الواجهة، فالكائن يستقبل العالم بمجساته الشعورية قبل أي حاسة أخرى. التقليد يرى في هذا الموضع شخصية متقبلة، حساسة، متغيرة كالقمر في أطواره، وذات قدرة عالية على التقاط الجو العاطفي حولها. الجسد يميل إلى أن يكون لطيفاً مدوّر الملامح، والمزاج يتقلب مع المد والجزر الداخلي. التعلق بالأم والذاكرة الطفولية يأخذ ثقلاً خاصاً، وصاحب هذا الموضع يتفاعل مع البيئة كما يتفاعل سطح الماء مع الريح. ليس لديه قشرة سميكة بين داخله والعالم.,اختارت النفس أن تولد بقمرها على عتبة الحياة لأن درس هذه السيرة هو تعلم استقبال العالم بقلب مكشوف دون أن ينكسر. ثمة تاريخ كرمي من التحصن العاطفي أو من الانفصال عن الجسد الشعوري، والقمر على الطالع يأمر بأن تكون النفس حاضرة في كل لقاء. الأنا الواعية الحرة هنا تتعلم أن الحساسية ليست ضعفاً بل أداة معرفة، وأن المرور بأطوار داخلية ليس عدم استقرار بل إيقاع طبيعي. القوى الكونية تعمل من خلال هذا الكائن بصفته وعاءً متلقياً يحوّل ما يمتصه من البيئة إلى صورة مفهومة عاطفياً يعيدها إلى الآخرين.,الخطر المتصلب أن يبني الكائن جداراً سميكاً ضد فيض الانطباعات فيفقد قمره الفطري ويتحول إلى ساكن باهت لا يستجيب. الخطر الوهمي أن يذوب في كل جوّ ويلتبس بكل من يجاوره حتى يفقد قدرته على تمييز مشاعره من مشاعر الآخرين. التوازن الحي يقوم على غشاء نفسي رقيق لكنه واعٍ، يسمح بالمرور ويعرف ما يدخل ويخرج. المهمة أن يطوّر الكائن إيقاعاً داخلياً ثابتاً يحتضن تقلباته دون أن يسحقها، وأن يحوّل قدرته على الاستقبال إلى رحمة عملية لا إلى انفعال متواصل.,Sue Tompkins The Contemporary Astrologer's Handbook; Hand Horoscope Symbols; Forrest The Inner Sky,filled,
3,Planet Conjunct Angle,Natal Components,القمر,الداسن (DSC),,T03_Moon_DSC,Moon on the DSC — highest biographical weight,اقتران القمر بالداسن يجعل الحاجة العاطفية تتحقق عبر العلاقة الحميمة بالآخر. التقليد يرى في هذا الموضع شخصية تبحث عن الاحتواء في الشراكة، وتميل إلى اختيار شريك يحمل ملامح أمومية أو يلعب دور الراعي والملاذ. العلاقات الحميمة تأخذ شكل المد والجزر، وفيها تقلب طبيعي يتبع طبائع القمر. الزوج أو الشريك يصبح المرآة التي يرى الكائن من خلالها داخله، والاحتياجات الطفولية القديمة تطفو في كل علاقة قوية. صاحب هذا الموضع يشعر بأنه لا يكتمل عاطفياً إلا في حضرة شخص آخر يسكن إليه.,اختارت النفس هذا الموضع لأن العمل على الجراح الأمومية والاحتياج الأولي مؤجل من حيوات سابقة، ولا يمكن أن يُنجز في عزلة. الأنا الواعية الحرة مدعوة هنا إلى تعلم أن الحاجة إلى الآخر ليست عيباً بل اعتراف بتركيب الكائن البشري، وأن العلاقة الحميمة ميدان تطور لا مجرد راحة. ثمة احتمال أن يكون الشريك حاملاً لمشاعر النفس المسقطة عليه، فما يحبه الكائن أو يكرهه فيه هو غالباً ما لا يعرفه عن نفسه. القوى الكونية تعمل من خلال هذا الكائن بصفته نصفاً يبحث عن نصفه الآخر ليعرف من هو.,الخطر المتصلب أن يتحول البحث عن الاحتواء إلى تشبث طفولي يفرغ الشريك ويثقله بحاجات لا يقدر على حملها. الخطر الوهمي أن يُضخّم الكائن صورة الشريك إلى أم مثالية أو رفيق روحي مطلق ثم ينكسر حين تظهر بشريته. التوازن الحي يقوم على أن يصبح الكائن أم نفسه أولاً، ثم يدخل العلاقة بصفته نصفاً ناضجاً لا طفلاً يبحث عن مأوى. المهمة أن يحول الشراكة من ميدان تعويض إلى ميدان نضج متبادل، يحتضن فيه كل طرف الطرف الآخر دون أن يفقد ذاته.,Tyl Synthesis & Counseling in Astrology; Sue Tompkins The Contemporary Astrologer's Handbook; Stephen Arroyo Astrology Karma and Transformation,filled,
3,Planet Conjunct Angle,Natal Components,القمر,وسط السماء (MC),,T03_Moon_MC,Moon on the MC — highest biographical weight,اقتران القمر بوسط السماء يجعل الحياة المهنية والمكانة العامة مشحونتين بطاقة عاطفية واضحة. التقليد يرى في هذا الموضع شخصية يحبها الجمهور ويشعر بقربها، وميلاً نحو مهن تتصل بالجمهور أو بالمرأة أو بالطعام أو بالعناية أو بالذاكرة الجمعية. الأم تلعب دوراً مفصلياً في توجيه المسار المهني، إما بالدفع أو بالعكس بترك فراغ يحاول الكائن ملأه طوال حياته. السمعة تتقلب كأطوار القمر، والنجاح هنا مرتبط بقدرة الكائن على أن يكون وعاءً عاطفياً لجماعة أوسع منه.,اختارت النفس هذا الموضع لأن مشروع التحقق الاجتماعي في هذه الحياة لا ينفصل عن العمل العاطفي والذاكرة الجماعية. الأنا الواعية الحرة مدعوة إلى أن تجعل من نضجها الشعوري سلعة عامة، أي أن تحمل في العمل المهني قدرة الاحتواء التي طوّرتها داخلياً. ثمة تاريخ كرمي من الفصل بين الحياة العاطفية والحياة العامة، وهذه السيرة تأمر بدمجهما. القوى الكونية تعمل من خلال هذا الكائن في الفضاء العام بصفته مرآة تعكس مشاعر الجماعة وتعيدها إليها مشكّلة. النجاح يأتي حين يصبح العمل المهني تعبيراً عن قمره الداخلي لا قناعاً عليه.,الخطر المتصلب أن يستخدم الكائن مكانته لإخفاء عواطفه فيتحول إلى واجهة باردة تنجح ظاهراً وتنطفئ باطناً. الخطر الوهمي أن يطلب من الجمهور ما لم يأخذه من أمه، فيصبح كل تصفيق رضاعة مؤجلة وكل نقد جرحاً قديماً. التوازن الحي يقوم على الفصل بين العمل المهني والاحتياج الشخصي، وعلى تحويل القمر العام إلى خدمة عاطفية ناضجة لا إلى مسرح لاستجلاب التعاطف. المهمة أن يجد الكائن مهنة يستطيع فيها أن يحتضن الجماعة دون أن يستهلك بها نفسه.,Tyl Synthesis & Counseling in Astrology; Hand Horoscope Symbols; Sue Tompkins The Contemporary Astrologer's Handbook,filled,
3,Planet Conjunct Angle,Natal Components,القمر,قاع السماء (IC),,T03_Moon_IC,Moon on the IC — highest biographical weight,اقتران القمر بقاع السماء من أقوى مواضع القمر في الخريطة، فهو في بيته الطبيعي ومرتبط بمحور الجذور والأصل. التقليد يصف صاحب هذا الموضع بأنه شخص تسكنه ذاكرة العائلة، عميق الارتباط بالبيت والأرض والأم. الحياة الداخلية غنية بصور الطفولة وبعالم خيالي يلازمه طوال العمر. ثمة موهبة فطرية في الحياة المنزلية، في صنع المأوى، في احتضان الآخرين تحت سقف. الجذر العاطفي قوي والتعلق بمكان الميلاد أو ما يشبهه يبقى مفصلياً. النصف الثاني من العمر يحمل عودة إلى البيت بأي شكل من الأشكال.,اختارت النفس أن تضع قمرها في قاع السماء لأن العمل على الذاكرة الأمومية والوراثة العاطفية هو محور هذه السيرة. ثمة سلسلة طويلة من النساء أو من المشاعر الموروثة تنتظر أن تُعالج وتُحرّر في هذا الكائن. الأنا الواعية الحرة مدعوة إلى أن تحفر في الباطن العائلي لتُخرج إلى الضوء ما ظلّ مخفياً، وأن تشفي ما لم يُشفَ في الأجيال السابقة. القوى الكونية تعمل من خلال هذا الكائن بصفته مستودعاً للذاكرة الجماعية الأسرية، وما يحمله في باطنه أكبر من سيرته الشخصية. البيت الذي يبنيه يصبح ملاذاً ليس له فقط بل لمن حوله.,الخطر المتصلب أن يبقى الكائن طفل أمه طوال عمره، أو أن يكرر النمط الأمومي القديم دون وعي فيعيد إنتاج جرحه. الخطر الوهمي أن يغرق في الحنين إلى ماضٍ مثالي لم يوجد فعلاً، فيهرب من الحاضر إلى ذاكرة مزخرفة. التوازن الحي يقوم على بناء بيت داخلي ثابت يحمله الكائن أينما ذهب، وعلى تحويل الذاكرة الأمومية من قيد إلى مصدر. المهمة أن يصير الكائن أم نفسه وأم من حوله، أي أن يأخذ على عاتقه دور الاحتواء بدل أن ينتظره من خارجه.,Hand Horoscope Symbols; Forrest The Inner Sky; Sue Tompkins The Contemporary Astrologer's Handbook,filled,
3,Planet Conjunct Angle,Natal Components,عطارد,الطالع (ASC),,T03_Mercury_ASC,Mercury on the ASC — highest biographical weight,اقتران عطارد بالطالع يجعل العقل والكلام في واجهة الشخصية. التقليد يرى في هذا الموضع شخصاً سريع البديهة، حاضر الذهن، يميل إلى التعبير اللفظي والحركة، وغالباً ما يبدو أصغر من عمره. الجسد رشيق متحرك، واليدان تلعبان دوراً في التعبير، والصوت أداة رئيسية في الحضور. صاحب هذا الموضع يُعرَف بأنه متحدث أو كاتب أو ناقل للأفكار، ويميل إلى الفضول الواسع الذي يتنقل بين الموضوعات. السفر القصير، الإخوة، الجيران، الشبكات المحلية كلها تأخذ ثقلاً في حياته منذ البداية.,اختارت النفس هذا الموضع لأن مشروع هذه الحياة هو ترجمة الإدراك إلى لغة، وتشكيل الفكر في كلمات قابلة للنقل. ثمة موهبة موروثة في التواصل لكنها تحمل التزاماً: ألا تُستخدم اللغة لتزيين الفراغ. الأنا الواعية الحرة مدعوة إلى أن تجعل من العقل خادماً للحقيقة لا أداة للظهور. القوى الكونية تعمل من خلال هذا الكائن كرسول، أي ناقل بين العوالم والأشخاص والأفكار، يستقبل ويعيد التشكيل ويسلّم. ثمة تاريخ كرمي من الكلام الكثير الذي لم يصل إلى عمق، وهذه السيرة تطلب أن يصير كل قول مسؤولية. اللسان هنا أكثر بياناً مما يدرك صاحبه، وما يُقال يحفر أثره أعمق مما يظن.,الخطر المتصلب أن يتحول العقل إلى آلة تصنيف باردة تختصر كل تجربة إلى معلومة، فيفقد الكائن قدرته على السكون والإصغاء. الخطر الوهمي أن يصبح الكلام تعويضاً عن الحضور، فيتكلم الكائن ليؤكد أنه موجود ويغرق في ثرثرة لا تصل. التوازن الحي يقوم على عقل خادم للقلب، يتكلم حين يكون للكلام معنى ويصمت حين لا يكون. المهمة أن يربط الكائن بين سرعة ذهنه وعمق ضميره، فلا يقول إلا ما يستطيع أن يحمله، ولا يكتب إلا ما يستطيع أن يقف وراءه.,Hand Horoscope Symbols; Tyl Synthesis & Counseling in Astrology; Sue Tompkins The Contemporary Astrologer's Handbook,filled,
3,Planet Conjunct Angle,Natal Components,عطارد,الداسن (DSC),,T03_Mercury_DSC,Mercury on the DSC — highest biographical weight,اقتران عطارد بالداسن يجعل الفكر والكلام يتفتحان في الحوار مع الآخر. التقليد يرى في هذا الموضع شخصاً يحتاج إلى محاور ليكتشف ما يفكر فيه، ويجد شريكه غالباً في شخص ذكي يحفز عقله. العلاقات الزوجية والمهنية تأخذ طابع التبادل الفكري، والشراكة تقوم على الحوار قبل العاطفة. الفم الذي يتكلم في طرف الكائن والذي يستمع في طرف الشريك يصنعان معاً عقلاً مشتركاً. صاحب هذا الموضع يميل إلى الشركاء الأصغر سناً أو الأكثر حركة، ويتعلم من كل علاقة شيئاً جديداً عن نفسه.,اختارت النفس هذا الموضع لأن درس هذه الحياة هو أن الإدراك لا يكتمل في عزلة بل في حوار. الأنا الواعية الحرة مدعوة هنا إلى أن تختبر فكرها في عقل آخر، وأن تقبل أن يصححها الآخر دون أن تشعر بأن جوهرها مهدد. ثمة تاريخ كرمي من الفكر المغلق على نفسه أو من الحوار العقيم، وهذه السيرة تطلب فتح العقل لاحتكاك حقيقي بآخر مختلف. القوى الكونية تعمل من خلال هذا الكائن في فضاء العلاقة بوصفه ناقلاً، أي أن جودة عقله تُقاس بقدرته على أن يفهم الآخر ويُفهم منه. كل شريك مهم في هذه السيرة يأتي حاملاً معلماً.,الخطر المتصلب أن يفرغ الكائن نفسه في عقل الشريك ويتحول إلى صدى لأفكار غيره دون فكر مستقل. الخطر الوهمي أن يطلب من الشريك أن يكون عبقرياً يلهمه ثم ينسحب حين يكتشف بشريته الفكرية. التوازن الحي يقوم على حوار ندّ بندّ، فيه يفكر كل طرف بحرية ثم يلتقيان في فضاء مشترك يتجاوز ما يستطيع أيٌّ منهما الوصول إليه وحده. المهمة أن يحوّل الكائن العلاقة إلى ميدان تعلم متبادل دون أن يفقد صوته الخاص، وأن يستمع كما يتكلم.,Hand Horoscope Symbols; Sue Tompkins The Contemporary Astrologer's Handbook; Tierney Dynamics of Aspect Analysis,filled,
